"distance";"median mortality class 1";"median mortality class 2";"median mortality class 3";"median mortality class 4";"median mortality class 5";"median mortality class 6";"median mortality class 7";"median mortality class 8"
0,2;0,999175187860255;0,994689875195214;0,966374694408203;0,696876025931452;0,238733241127864;0,0348430233036335;0,000895571627189699;9,36404366829035e-05
0,5;0,997698742869672;0,985302663828296;0,911391505431623;0,451396135260257;0,100913634501269;0,0127560554478513;0,000320718767793802;3,35168957805062e-05
1;0,996085079260874;0,975212719598471;0,857879739213303;0,325637854043524;0,0617993318296017;0,00752574675815789;0,000188243581919408;1,96701673157039e-05
2;0,994104693198679;0,963065384372473;0,800021756791773;0,242435117951523;0,0418271596168946;0,00500009556050557;0,000124759164123292;1,30357383134764e-05
5;0,984491408805355;0,907544789125807;0,600963688237592;0,10752090603633;0,0161679397726948;0,00188822446452298;4,69705250369832e-05;4,90747771305709e-06
10;0,968909005293012;0,828145192152855;0,425067582191363;0,0558394959519645;0,00800283899515285;0,000927835754195631;2,30587407604434e-05;2,40912429579453e-06
15;0,959523468239246;0,785667419382266;0,359962239393102;0,0430523848689308;0,00609944536832656;0,000705962054239984;1,75408973440466e-05;1,83262362847915e-06
20;0,941120530321899;0,711948435959283;0,274945337794861;0,0294409935876943;0,00412074021562429;0,00047610454755802;1,18270210252131e-05;1,23564757523228e-06
30;0,920824476747432;0,642652134216352;0,216252418207799;0,0215953030045648;0,00300174159401093;0,000346472700233998;8,60571856603857e-06;8,99094081420317e-07
40;0,905356987476766;0,596644844920732;0,184969163123166;0,0178306138449758;0,00247026614453006;0,000284993334740311;7,07826428124644e-06;7,39510218363211e-07
50;0,87769775518081;0,526006442610494;0,145493294290371;0,0134372654237352;0,0018544640093791;0,000213831809019587;5,31048568215638e-06;5,54818533843464e-07
60;0,872045492405481;0,513116614550724;0,139189528041428;0,0127695561829053;0,00176128640286065;0,000203071048844235;5,0431906359325e-06;5,26892478787975e-07
70;0,822832037665312;0,417992741729435;0,0992550282770884;0,00873770840515953;0,00120095125517094;0,000138397354622394;3,43682775762502e-06;3,59065564266227e-07
80;0,848251645040331;0,463632372829842;0,117093977500874;0,0104977217043461;0,00144506876271403;0,000166565420546444;4,13644024825692e-06;4,32158457472854e-07
100;0,795378538021096;0,375426644941269;0,0844385864397545;0,00732351587592206;0,0010053409289854;0,000115835192970501;2,87647728227988e-06;3,00522310983919e-07
120;0,756355431565117;0,324339281204809;0,0685973983126669;0,00585698489511527;0,000802997857909586;9,25046762961102e-05;2,29706996324238e-06;2,39988134002627e-07
140;0,714644708857725;0,27915438823259;0,0560832142728289;0,00473036224069393;0,000647903238194876;7,46276564874296e-05;1,85311668537243e-06;1,93605700173699e-07
160;0,698676962301496;0,263919380376249;0,0521420368217132;0,00438119605494483;0,000599897425865915;6,90952507781337e-05;1,71572949572359e-06;1,79252052551043e-07
180;0,637980726027533;0,214150804651478;0,0401320688306975;0,00333338108241708;0,00045601064978174;5,2515906223645e-05;1,30402063075058e-06;1,36238427463891e-07
200;0,591594173436146;0,183000379521164;0,0332240676149674;0,00274150549201491;0,000374849145141948;4,31659392601246e-05;1,07184215272418e-06;1,11981402414144e-07
300;0,553832725942704;0,161035536998239;0,0286068264277033;0,00235021220395349;0,000321238357339224;3,69906069366132e-05;9,18498558587924e-07;9,59607180215268e-08
400;0,51298590513036;0,140065413840258;0,0243805630912141;0,00199503524723436;0,000272607281012765;3,13893860111529e-05;7,79412686961607e-07;8,1429623445942e-08
500;0,434889680790571;0,10634441032894;0,0179301389279727;0,00145835024248544;0,00019918063593827;2,29331788709631e-05;5,69436533313066e-07;5,94922234906892e-08
600;0,432516157340733;0,105430055199284;0,0177608947883121;0,00144435651925951;0,000197266998905303;2,27128089166737e-05;5,63964571591504e-07;5,8920536718374e-08
700;0,324713734484176;0,0692095321229561;0,0112793704084412;0,000911737015284607;0,000124465689841264;1,43297323293123e-05;3,55807831442233e-07;3,71732295700444e-08
800;0,290624589063892;0,0595769168310956;0,00962610431724846;0,00077690549521342;0,000106046818094822;1,22089689564472e-05;3,0314856433415e-07;3,16716206010198e-08
900;0,281380251691641;0,0570902770597445;0,0092039180814349;0,00074254055316233;0,000101353027536731;1,16685332755884e-05;2,89729399620555e-07;3,02696452863049e-08
1000;0,335882574326317;0,0725346053080636;0,0118567479454496;0,000958922802645977;0,000130912595370925;1,50720504805153e-05;3,74239892155208e-07;3,90989304500395e-08
1200;0,223920231806586;0,0427101884224412;0,00679864645912582;0,000547270255764532;7,46870188684916e-05;8,59833616560542e-06;2,1349584034766e-07;2,23050989121482e-08
1500;0,186994898620591;0,0343445085785012;0,00542710600216061;0,000436311337492553;5,95385341935622e-05;6,85427636308228e-06;1,70190717679353e-07;1,77807709899416e-08
2000;0,158015610813051;0,02820127224009;0,00443260690296;0,00035603129556333;4,85802437751204e-05;5,59266685935773e-06;1,38864960338787e-07;1,45079944588075e-08
