"distance";"mean mortality class 1";"mean mortality class 2";"mean mortality class 3";"mean mortality class 4";"mean mortality class 5";"mean mortality class 6";"mean mortality class 7";"mean mortality class 8";"median mortality class 1";"median mortality class 2";"median mortality class 3";"median mortality class 4";"median mortality class 5";"median mortality class 6";"median mortality class 7";"median mortality class 8";"SD mortality class 1";"SD mortality class 2";"SD mortality class 3";"SD mortality class 4";"SD mortality class 5";"SD mortality class 6";"SD mortality class 7";"SD mortality class 8";"SDERR mortality class 1";"SDERR mortality class 2";"SDERR mortality class 3";"SDERR mortality class 4";"SDERR mortality class 5";"SDERR mortality class 6";"SDERR mortality class 7";"SDERR mortality class 8"
0,2;0,936848459986838;0,902171457606313;0,835741663192251;0,654641140661351;0,428351347826202;0,186943788652809;0,0169880063887745;0,00235269634126667;0,999995082226796;0,999814755188741;0,994694595974863;0,832683393405742;0,333273432339818;0,0515310023847507;0,00133562358519937;0,000139683456146233;0,216927651320747;0,254163650249399;0,308278417232328;0,374314711503499;0,369364857905174;0,259279031080593;0,059626419425119;0,0122456373015498;0,00685985465644393;0,00803736033210525;0,00974861951925858;0,0118368705005989;0,011680342386048;0,00819912287736264;0,00188555294103884;0,000387241052732154
0,5;0,903988116899843;0,860941973716772;0,772103598558227;0,550184489581665;0,324474112629001;0,123216061192256;0,00841610428733835;0,00100611409792815;0,999965348715504;0,998765341196505;0,976059516864824;0,611068878865672;0,162305544058215;0,0215306736900122;0,000544810084243342;5,69437337393231e-05;0,267931913225816;0,300498878529456;0,345073797049029;0,389739575745154;0,344274382630138;0,210297650770746;0,0331408499734227;0,00479342754493649;0,00847275103640171;0,00950260890479349;0,0109121915951762;0,012324647536624;0,0108869118915955;0,00665019563018221;0,00104800569509946;0,000151581488409884
1;0,895122499887503;0,838662107595834;0,730676885561483;0,47957090805221;0,250797587417904;0,0836353899347475;0,00465477549740997;0,000516230153462278;0,9998750288064;0,996690411226384;0,945030897748347;0,450576858416641;0,0949715892970734;0,0117577846849541;0,000294748340474576;3,08005442147819e-05;0,273385954938335;0,313030012808324;0,36163122232783;0,380856404220922;0,306347181005998;0,169766817246562;0,017709636031359;0,00207585885592765;0,00864522297905296;0,00989887816465986;0,0114357833558668;0,0120437369879988;0,00968754846750827;0,0053684981361669;0,000560027863916797;6,56444208576269e-05
2;0,884233907833669;0,815380648499342;0,691543670318968;0,41460343334828;0,185365488632948;0,0468374634838891;0,00170640725688629;0,000181317554203938;0,999760986191357;0,993771668376394;0,906992112887035;0,353236341941804;0,0665446510828421;0,00807235013885014;0,000201789858458534;2,10853416410806e-05;0,278123955222309;0,326885696329427;0,372862796058497;0,362111554925039;0,251114492411818;0,103486378764944;0,00586879295465413;0,000639557439165384;0,00879505170357177;0,0103370333493113;0,011790956902837;0,0114509728062829;0,00794093749498413;0,00327252663700105;0,000185587528526563;2,02245820226719e-05
5;0,868656759098665;0,775863400233863;0,607138580940327;0,297466140127123;0,112345445673984;0,0255759558043554;0,00101142787144587;0,000110412768924431;0,998393847261373;0,970637289339689;0,749206427918491;0,164973353299397;0,0256121362320085;0,0030076686826099;7,48579796953364e-05;7,82125453840932e-06;0,28778937786995;0,339118441393157;0,374664999798792;0,321534758441445;0,193972586339187;0,0762073344501821;0,0070697439851129;0,000852889867235623;0,00910069920471897;0,010723866713687;0,0118479475891071;0,0101678218358702;0,00613395176465494;0,00240988751272791;0,000223564934672323;2,69707457374319e-05
10;0,831032995802449;0,71119872189534;0,521127730759422;0,226851919899213;0,0749639762899299;0,0145619125492215;0,000460519186432992;4,87037699426521e-05;0,994806296850085;0,922262580898656;0,557957716670686;0,0821063648578151;0,0119156420694248;0,00138403152194782;3,44061142527885e-05;3,59469547214774e-06;0,313967691610187;0,3636521871752;0,383491881144454;0,284964197166252;0,150803900291655;0,0479526268660351;0,00258634316039363;0,000282779251134661;0,00992853017193529;0,011499691875755;0,0121270780859906;0,00901135914646657;0,0047688380495856;0,00151639520684853;8,17873519764207e-05;8,94226508622283e-06
15;0,821448926276935;0,693161694417683;0,494093816638878;0,211436119568547;0,0742320346579147;0,0160991603108959;0,000644303391977384;7,07382395556113e-05;0,992948753857102;0,900023127193272;0,497485660136541;0,067363043087433;0,00967461710010561;0,00112217605538353;2,78890805798237e-05;2,91378844327617e-06;0,320484755600124;0,367199097906278;0,380514666554662;0,285685598419633;0,160648949837952;0,0584769607596375;0,00616746308462432;0,00074030396696108;0,0101346178305879;0,01161185504143;0,0120329302941223;0,00903417185714241;0,00508016585202066;0,00184920386644745;0,000195032307324207;2,34104669645505e-05
20;0,806252479985518;0,656092251802165;0,442361842084069;0,170858418088233;0,0529703941733895;0,0103705654593769;0,000395487689668422;4,25299930571645e-05;0,985175872258887;0,832960385591294;0,375451238039321;0,0436063031809898;0,00616916071185428;0,000713882824182249;1,77372329557835e-05;1,85313510020491e-06;0,320912960648549;0,37021841081147;0,372590749769485;0,253086370815267;0,125326863801143;0,0462514111520432;0,00375894523425563;0,000421946079379953;0,010148158863174;0,0117073340989215;0,0117823540438143;0,0080032937652221;0,0039631834161732;0,00146259804237369;0,00011886828540083;1,33431066061886e-05
30;0,78769874269953;0,630055383957394;0,410723840692353;0,139029430805113;0,0368764285213818;0,00597601313106252;0,000171638453473502;1,80341496611917e-05;0,977579288012244;0,785018900115914;0,323716262557163;0,0352623602676606;0,00494383791390047;0,000571462385882932;1,41966442950836e-05;1,48321983275968e-06;0,331360802132319;0,376978596349697;0,362764860716067;0,215325022038416;0,0916695164091184;0,0252311227511357;0,00108653340841665;0,000115973133946852;0,0104785486203851;0,0119211099359828;0,0114716321493651;0,00680917506867347;0,00289884463858994;0,000797878158168825;3,43592032446257e-05;3,66739250659845e-06
40;0,767794966495273;0,604200632214491;0,385041198828864;0,128261647190802;0,0355089803837446;0,00595163189551755;0,000166372109569946;1,74441851641516e-05;0,969994283073309;0,740061423030431;0,266706668053764;0,0271168449991529;0,00377493991000838;0,000435838032026625;1,08257607190354e-05;1,13103688842431e-06;0,34596079278526;0,381616492050837;0,358212217482795;0,213103241407793;0,0954801225200339;0,0248985189873195;0,000865725649772409;9,14160457567789e-05;0,0109402408631897;0,0120677730756419;0,0113276649294522;0,00673891619613332;0,00301934658435243;0,000787360303648786;2,73766488211004e-05;2,89082919277592e-06
