"distance";"mean mortality class 1";"mean mortality class 2";"mean mortality class 3";"mean mortality class 4";"mean mortality class 5";"mean mortality class 6";"mean mortality class 7";"mean mortality class 8"
0,2;0,936848459986838;0,902171457606313;0,835741663192251;0,654641140661351;0,428351347826202;0,186943788652809;0,0169880063887745;0,00235269634126667
0,5;0,903988116899843;0,860941973716772;0,772103598558227;0,550184489581665;0,324474112629001;0,123216061192256;0,00841610428733835;0,00100611409792815
1;0,895122499887503;0,838662107595834;0,730676885561483;0,47957090805221;0,250797587417904;0,0836353899347475;0,00465477549740997;0,000516230153462278
2;0,884233907833669;0,815380648499342;0,691543670318968;0,41460343334828;0,185365488632948;0,0468374634838891;0,00170640725688629;0,000181317554203938
5;0,868656759098665;0,775863400233863;0,607138580940327;0,297466140127123;0,112345445673984;0,0255759558043554;0,00101142787144587;0,000110412768924431
10;0,831032995802449;0,71119872189534;0,521127730759422;0,226851919899213;0,0749639762899299;0,0145619125492215;0,000460519186432992;4,87037699426521e-05
15;0,821448926276935;0,693161694417683;0,494093816638878;0,211436119568547;0,0742320346579147;0,0160991603108959;0,000644303391977384;7,07382395556113e-05
20;0,806252479985518;0,656092251802165;0,442361842084069;0,170858418088233;0,0529703941733895;0,0103705654593769;0,000395487689668422;4,25299930571645e-05
30;0,78769874269953;0,630055383957394;0,410723840692353;0,139029430805113;0,0368764285213818;0,00597601313106252;0,000171638453473502;1,80341496611917e-05
40;0,767794966495273;0,604200632214491;0,385041198828864;0,128261647190802;0,0355089803837446;0,00595163189551755;0,000166372109569946;1,74441851641516e-05
50;0,743172286762014;0,571331027841688;0,348847250455185;0,109810578285218;0,028045292985713;0,00421742792645106;0,000110584583542096;1,15691030151103e-05
60;0,749324029564624;0,568273094309495;0,343346073307298;0,109411888142431;0,0285473429953788;0,00420489133684077;0,000109386351101931;1,1440975232535e-05
70;0,723379725364976;0,527432378192493;0,29280448765042;0,0774150451651731;0,0176401073643458;0,00248927679264664;6,42887581424902e-05;6,72320146690863e-06
80;0,737296775521921;0,548569430417087;0,317034373149655;0,0861389300863767;0,0196479575047738;0,00295882759031115;7,98427687632828e-05;8,36071493920431e-06
100;0,712828446893141;0,505814918903016;0,281311586071547;0,0763850290682332;0,0178787465459355;0,00288358334569258;8,3250125657787e-05;8,74247648128484e-06
120;0,665252381918283;0,461619441829339;0,242867953557544;0,0605695772575018;0,013469494688409;0,0018880000339142;4,8822618009631e-05;5,10612908132191e-06
140;0,65123775971514;0,441044510111761;0,229342358692065;0,0564274254252901;0,0122734165851537;0,00192819135535605;5,49945354686055e-05;5,77192805883614e-06
160;0,644816679167796;0,442237888547028;0,227952645350553;0,0527577382058688;0,0102783256793142;0,00129902493721897;3,2702676455834e-05;3,41773308128224e-06
180;0,637649704380539;0,418106413180008;0,205158017929663;0,0449303961178672;0,00887375959136501;0,001133172050353;2,85907431593365e-05;2,98814709807982e-06
200;0,606062639693642;0,3838099600378;0,180545294724492;0,0408324415220648;0,00919419301618592;0,00136599494476721;3,61741358038003e-05;3,78560842452541e-06
300;0,590341627137702;0,36502356989467;0,16492565414951;0,0323073198994244;0,00621833439622435;0,000793874033996656;2,00203178793115e-05;2,0924031802213e-06
400;0,571560375131396;0,34763290747251;0,152025265590611;0,0281709894921696;0,00494695353057631;0,000603607873274983;1,51127051163254e-05;1,57921679340034e-06
500;0,531218511393332;0,309307013807996;0,136891150370791;0,0263787657538657;0,00493447023483057;0,000631078299786865;1,59552488331701e-05;1,66762953223637e-06
600;0,530627887319686;0,295876590494843;0,118247967589154;0,0209876702895705;0,0040483314195073;0,000534663601902649;1,3601955401264e-05;1,42193293390441e-06
700;0,487090506403431;0,269907371463069;0,106256448031042;0,0183767948915567;0,00311497463363822;0,000374621833000478;9,35763665942196e-06;9,77777834795634e-07
800;0,457973637992765;0,245472028499657;0,0918263980649134;0,0141496213615924;0,00247330759896101;0,000304362425530143;7,63530138429369e-06;7,97889605170854e-07
900;0,455185249241824;0,236567295346163;0,0898493048037269;0,0146898890752273;0,00240385128602575;0,000286726214393556;7,15286694869044e-06;7,47380315779533e-07
1000;0,47353499486321;0,249142215331023;0,0947834027751936;0,0161113219962421;0,00282043583051477;0,000345437156580845;8,6552220056817e-06;9,044429071427e-07
1200;0,406931500055827;0,19994636350658;0,068407146762669;0,0103160714734016;0,0017722153591156;0,000216300291772434;5,41641130251364e-06;5,66000738237593e-07
1500;0,384095484569702;0,187331189929853;0,0668728935408165;0,00972653986600875;0,0015047916744196;0,000177209178802041;4,41347653170338e-06;4,61132620301563e-07
2000;0,367987178796282;0,176529707585073;0,0609136593483658;0,00840492064385038;0,00127582820840404;0,000149780942338612;3,72910265141846e-06;3,89624135110567e-07
