"distance";"SD mortality class 1";"SD mortality class 2";"SD mortality class 3";"SD mortality class 4";"SD mortality class 5";"SD mortality class 6";"SD mortality class 7";"SD mortality class 8"
0,2;0,216927651320747;0,254163650249399;0,308278417232328;0,374314711503499;0,369364857905174;0,259279031080593;0,059626419425119;0,0122456373015498
0,5;0,267931913225816;0,300498878529456;0,345073797049029;0,389739575745154;0,344274382630138;0,210297650770746;0,0331408499734227;0,00479342754493649
1;0,273385954938335;0,313030012808324;0,36163122232783;0,380856404220922;0,306347181005998;0,169766817246562;0,017709636031359;0,00207585885592765
2;0,278123955222309;0,326885696329427;0,372862796058497;0,362111554925039;0,251114492411818;0,103486378764944;0,00586879295465413;0,000639557439165384
5;0,28778937786995;0,339118441393157;0,374664999798792;0,321534758441445;0,193972586339187;0,0762073344501821;0,0070697439851129;0,000852889867235623
10;0,313967691610187;0,3636521871752;0,383491881144454;0,284964197166252;0,150803900291655;0,0479526268660351;0,00258634316039363;0,000282779251134661
15;0,320484755600124;0,367199097906278;0,380514666554662;0,285685598419633;0,160648949837952;0,0584769607596375;0,00616746308462432;0,00074030396696108
20;0,320912960648549;0,37021841081147;0,372590749769485;0,253086370815267;0,125326863801143;0,0462514111520432;0,00375894523425563;0,000421946079379953
30;0,331360802132319;0,376978596349697;0,362764860716067;0,215325022038416;0,0916695164091184;0,0252311227511357;0,00108653340841665;0,000115973133946852
40;0,34596079278526;0,381616492050837;0,358212217482795;0,213103241407793;0,0954801225200339;0,0248985189873195;0,000865725649772409;9,14160457567789e-05
50;0,357878532812698;0,383905056888305;0,347294602869601;0,193560276430864;0,077460179133446;0,0152947712994844;0,000426699772095684;4,47111451706152e-05
60;0,346661092589017;0,381108143994235;0,344676427747709;0,198915127506696;0,0773623424549826;0,0140035447155323;0,000382291727433426;4,00323781169988e-05
70;0,355944977053317;0,374666915730157;0,316338080568147;0,153795735770109;0,0558274312766405;0,0101748601153761;0,000277033666713592;2,90102375608298e-05
80;0,350646172191742;0,379098953122558;0,327848261066267;0,1596818357039;0,0597879877920912;0,0152702775807676;0,000502068136236431;5,2851019645624e-05
100;0,350505879544599;0,376146766498101;0,319193121993899;0,154632008422486;0,0609424389052133;0,0187616583418938;0,000739343060324506;7,83971607933138e-05
120;0,375992443055922;0,375855112373146;0,297505118848718;0,136174902987783;0,0476432246783177;0,00897064546953775;0,000249181720270617;2,61110393506593e-05
140;0,378526598478325;0,370811521885578;0,295149529976506;0,127615421902274;0,0470802128597533;0,0146428067608757;0,000544376762909845;5,75898949073585e-05
160;0,383840858299274;0,375564177144431;0,28835283533151;0,117295354823997;0,0312973820472733;0,0044315761919341;0,000113629701507108;1,18805410937907e-05
180;0,369502006000151;0,365990033723646;0,270990524792986;0,108527049296416;0,0306920504188553;0,00444426497926223;0,000114489431347504;1,19716180989867e-05
200;0,377705268706476;0,355899539375622;0,257570950555053;0,112284398887707;0,0428110675760116;0,00940580316245587;0,000277774766955791;2,91504249389898e-05
300;0,378463872418759;0,349853592404083;0,241125557859572;0,0882132012801008;0,0259291700331731;0,00381306790453537;9,82162216162697e-05;1,02700996728213e-05
400;0,381774890264875;0,344757458321616;0,228956450441884;0,0761104880924828;0,0175861033329699;0,00231134855989707;5,85199982768195e-05;6,11671829699125e-06
500;0,380784214381237;0,335543711888244;0,228752048739454;0,0771561200535061;0,0226028722771035;0,0035003855558902;9,16323066028579e-05;9,58494655767308e-06
600;0,372199571209644;0,318520996910501;0,199197757373138;0,0698502410387415;0,0230637902291459;0,0039279948299463;0,000104452648752017;1,09315160647604e-05
700;0,381726993951343;0,313658750421275;0,190708131494911;0,0603902006087271;0,0126918651577596;0,00159658589555387;4,01307345884895e-05;4,19384792252781e-06
800;0,380433227788106;0,301710095141132;0,169504845489924;0,0518808043600792;0,0138079764039101;0,00189748378594494;4,84333518126685e-05;5,06325200055948e-06
900;0,37053088069893;0,294252670700991;0,176203923168037;0,0503664080500102;0,010040255003305;0,00124696278883488;3,12754881980656e-05;3,26828037838218e-06
1000;0,373576825068452;0,298100073828876;0,180014291218474;0,0575533632545601;0,0138892081762159;0,00185865308480422;4,71856885360184e-05;4,93216825298013e-06
1200;0,365833658574489;0,27024880802664;0,142465440412672;0,0443667617577069;0,0108669142821629;0,00145584671983068;3,69542605194774e-05;3,86295502816519e-06
1500;0,359709479417721;0,268442223403233;0,147803781503199;0,0354721959084144;0,00634033087919682;0,000768062342459013;1,92030628401259e-05;2,0065689021784e-06
2000;0,359572740381139;0,259700718597309;0,138524534298977;0,0305130242282248;0,00540937535881066;0,000657122138240282;1,64441275293744e-05;1,71831716293945e-06
