"distance";"SDERR mortality class 1";"SDERR mortality class 2";"SDERR mortality class 3";"SDERR mortality class 4";"SDERR mortality class 5";"SDERR mortality class 6";"SDERR mortality class 7";"SDERR mortality class 8"
0,2;0,00685985465644393;0,00803736033210525;0,00974861951925858;0,0118368705005989;0,011680342386048;0,00819912287736264;0,00188555294103884;0,000387241052732154
0,5;0,00847275103640171;0,00950260890479349;0,0109121915951762;0,012324647536624;0,0108869118915955;0,00665019563018221;0,00104800569509946;0,000151581488409884
1;0,00864522297905296;0,00989887816465986;0,0114357833558668;0,0120437369879988;0,00968754846750827;0,0053684981361669;0,000560027863916797;6,56444208576269e-05
2;0,00879505170357177;0,0103370333493113;0,011790956902837;0,0114509728062829;0,00794093749498413;0,00327252663700105;0,000185587528526563;2,02245820226719e-05
5;0,00910069920471897;0,010723866713687;0,0118479475891071;0,0101678218358702;0,00613395176465494;0,00240988751272791;0,000223564934672323;2,69707457374319e-05
10;0,00992853017193529;0,011499691875755;0,0121270780859906;0,00901135914646657;0,0047688380495856;0,00151639520684853;8,17873519764207e-05;8,94226508622283e-06
15;0,0101346178305879;0,01161185504143;0,0120329302941223;0,00903417185714241;0,00508016585202066;0,00184920386644745;0,000195032307324207;2,34104669645505e-05
20;0,010148158863174;0,0117073340989215;0,0117823540438143;0,0080032937652221;0,0039631834161732;0,00146259804237369;0,00011886828540083;1,33431066061886e-05
30;0,0104785486203851;0,0119211099359828;0,0114716321493651;0,00680917506867347;0,00289884463858994;0,000797878158168825;3,43592032446257e-05;3,66739250659845e-06
40;0,0109402408631897;0,0120677730756419;0,0113276649294522;0,00673891619613332;0,00301934658435243;0,000787360303648786;2,73766488211004e-05;2,89082919277592e-06
50;0,0113171128936743;0,0121401438502356;0,0109824196415159;0,00612091338053337;0,00244950594026337;0,000483663135977439;1,34934315689712e-05;1,41389055533582e-06
60;0,0109623862874381;0,012051697698612;0,0108996256745322;0,0062902486398397;0,00244641207283687;0,000442830966170969;1,2089125893299e-05;1,26593495002799e-06
70;0,0112559684918485;0,0118480081761766;0,0100034884524119;0,00486344819454976;0,00176541838750706;0,00032175732838192;8,76057375362925e-06;9,17384261547896e-07
80;0,011088405569455;0,0119881615045268;0,0103674723189491;0,00504958301781121;0,0018906621814135;0,000482888576582313;1,58767885110284e-05;1,67129598742477e-06
100;0,0110839691264156;0,0118948051664152;0,0100937727896071;0,00488989345781396;0,00192716913106132;0,000593295730422825;2,33800804286471e-05;2,47913590197325e-06
120;0,0118899250306788;0,0118855822531768;0,00940793791121039;0,00430622853593863;0,00150661105058627;0,000283676717656099;7,87981787334097e-06;8,25703564223674e-07
140;0,0119700620614753;0,011726089917918;0,00933344765053902;0,00403555397774525;0,0014888070536237;0,000463046207020796;1,72147047606458e-05;1,82115238116985e-06
160;0,0121381137125965;0,0118763820734335;0,00911851729415044;0,0037092048020145;0,000989710120698472;0,000140138743910873;3,59328666607529e-06;3,75695696916067e-07
180;0,0116846793896168;0,0115736210748856;0,00856947282670165;0,00343192663514049;0,000970567853843076;0,000140539998597896;3,62047371075594e-06;3,7857580470493e-07
200;0,0119440893335838;0,0112545316263175;0,00814510862848578;0,0035507444618803;0,0013538048260358;0,000297437612165753;8,78400940102777e-06;9,21817375689826e-07
300;0,0119680784893066;0,0110633419958909;0,00762505964914964;0,00278954635739999;0,000819952351426108;0,000120579794512173;3,10586963483276e-06;3,24769067630653e-07
400;0,0120727820669785;0,0109021880862688;0,00724023868383818;0,0024068249619937;0,000556121416992634;7,30912591582486e-05;1,85056483223878e-06;1,93427616241186e-07
500;0,0120414541448255;0,0106108238411417;0,00723377493446522;0,00243989074790472;0,000714765580575235;0,000110691910453676;2,89766796119917e-06;3,03102623732374e-07
600;0,0117699838916051;0,0100725183282464;0,00629918618096715;0,00220885856794189;0,000729341086004379;0,000124214102999961;3,30308277693918e-06;3,45684890433635e-07
700;0,0120712674525556;0,00991876059373526;0,00603072063838811;0,00190970582278064;0,000401352016542527;5,04884791004993e-05;1,26904525475327e-06;1,32621115955532e-07
800;0,0120303549742007;0,00954091093712078;0,00536021386183079;0,00164061508619445;0,000436646553142171;6,00037058682541e-05;1,53159706444277e-06;1,60114086891721e-07
900;0,0117172152643674;0,00930508647002628;0,0055720572986831;0,00159272566999472;0,000317500740993453;3,94324257019382e-05;9,89017776396025e-07;1,03352100277246e-07
1000;0,011813536482706;0,00942675203963601;0,00569255171631224;0,00181999714887451;0,000439215327330757;5,87757712807942e-05;1,49214248737114e-06;1,55968854825908e-07
1200;0,0115686760584777;0,00854601768309778;0,00450515279563041;0,00140300019560409;0,000343642002694483;4,60379155874998e-05;1,16859632488786e-06;1,22157363878019e-07
1500;0,0113750125091346;0,00848888846113973;0,00467396596335975;0,00112172932678295;0,000200498866973598;2,42882638717473e-05;6,07254166261397e-07;6,34532801294735e-08
2000;0,011370688441128;0,00821245780749945;0,00438053040198882;0,000964906548610919;0,000171059468526323;2,07800265775932e-05;5,20008971271004e-07;5,43379597744734e-08
