"distance";"mean mortality class 1";"mean mortality class 2";"mean mortality class 3";"mean mortality class 4";"mean mortality class 5";"mean mortality class 6";"mean mortality class 7";"mean mortality class 8";"median mortality class 1";"median mortality class 2";"median mortality class 3";"median mortality class 4";"median mortality class 5";"median mortality class 6";"median mortality class 7";"median mortality class 8";"SD mortality class 1";"SD mortality class 2";"SD mortality class 3";"SD mortality class 4";"SD mortality class 5";"SD mortality class 6";"SD mortality class 7";"SD mortality class 8";"SDERR mortality class 1";"SDERR mortality class 2";"SDERR mortality class 3";"SDERR mortality class 4";"SDERR mortality class 5";"SDERR mortality class 6";"SDERR mortality class 7";"SDERR mortality class 8"
0,2;0,871026363908217;0,812148724594157;0,720801148014281;0,544356253162605;0,381061574973291;0,219958040387278;0,0593231361779637;0,0226038344190906;0,967340469158547;0,923965123200516;0,832411321827788;0,59804218953744;0,36506099905748;0,170055527810861;0,0339247356558677;0,0118072739971414;0,248201874772773;0,264091171200791;0,281815611753191;0,285669654040992;0,255109422617425;0,189615065421738;0,0732365985709838;0,032093947726966;0,00784883243805851;0,00835129610935963;0,00891179213333801;0,00903366765161857;0,00806726828041538;0,00599615485414529;0,00231594459567742;0,00101489973923596
0,5;0,827709407382567;0,756677256710818;0,651873886194957;0,465013465272277;0,308465983201063;0,167854054491977;0,0417473026002642;0,0154453694569449;0,94774788925216;0,881538182735418;0,752578402240332;0,476745668226605;0,260405861655903;0,111488362762916;0,0210518555971293;0,00726385357255196;0,282308478916878;0,29395601893805;0,301610715672629;0,285660946196383;0,2390048063754;0,164288407949166;0,0551851887211819;0,0225321714031401;0,00892737796154959;0,00929570551759828;0,00953776828238951;0,00903339228539385;0,00755799559873795;0,00519525562282278;0,00174510889465169;0,000712529822632349
1;0,811421838708487;0,729313910563581;0,612295459611574;0,414983038099113;0,261769195944512;0,135066613651519;0,031545139436317;0,0114506939953725;0,933618020866658;0,852294459248283;0,702252136067332;0,414000840749185;0,214463660714136;0,0886691281182697;0,0164013057304601;0,0056416473105504;0,28143135043875;0,293405878807278;0,297576792309912;0,270054130305563;0,215617910994619;0,140680209008561;0,0431955243603937;0,0168645837160647;0,00889964072363477;0,00927830855914325;0,00941020442506201;0,00853986143301482;0,00681843703070459;0,00444869882175591;0,00136596241704132;0,000533304963333508
2;0,793629098358128;0,700664465322594;0,573026519805626;0,368086534659127;0,218998285977252;0,105156227614726;0,0223257722480713;0,0078935286953794;0,920364222779845;0,825832500026135;0,659643612711458;0,367305546507937;0,18323640606045;0,0740320008430946;0,0135168913476027;0,00464055120843399;0,280048035396084;0,293071145202723;0,292016416787052;0,248855320880142;0,182937813161607;0,106370454817543;0,0272832282047679;0,0100664752281321;0,00885589646107079;0,00926772335314534;0,00923436991208111;0,00786949621833306;0,00578500159761006;0,00336372912971465;0,000862771430492134;0,000318329897305604
5;0,758561418337776;0,647196977265226;0,50295715271807;0,296121430954456;0,164836302089405;0,0750650040400809;0,0153503224878002;0,00539877793473895;0,878791339349497;0,748401091442588;0,548703943683186;0,266967373631855;0,123375907131661;0,047760757645074;0,00852259093546461;0,00291623773012229;0,281327614154132;0,288226158291773;0,277554121389441;0,221461881162854;0,154095611824903;0,0860739268136699;0,0221520493841095;0,00831751756410236;0,00889636029428082;0,00911451141442227;0,00877703197557492;0,00700323959380158;0,00487293110803868;0,00272189655885836;0,000700509308943162;0,00026302299981019
10;0,71398032969785;0,590933011524096;0,442389703412581;0,24602225964958;0,130873681083038;0,0571439289298692;0,0111968493614109;0,00389725590677858;0,837733719498529;0,679294149064475;0,464027642346917;0,205929390452957;0,091088315048575;0,0344832975207196;0,00608362518335904;0,00207831566652414;0,291840209105197;0,29405848503976;0,273418127670289;0,202666282355782;0,131688206662003;0,0682208983855885;0,0157128352715715;0,00567349064415141;0,00922879773592234;0,00929894578024191;0,0086462403701682;0,00640887057163068;0,0041643467403489;0,00215733422921363;0,000496883479571964;0,000179411527191743
15;0,704768596090081;0,577247171412231;0,427410094635979;0,235807686823623;0,125983209338676;0,0556817452809452;0,0111308611577416;0,00389868255627685;0,819196449971036;0,650214465760028;0,431757267404957;0,185399572412176;0,0808418683388244;0,0303913996166195;0,00534307433647361;0,00182443039218751;0,288326212661213;0,291720389910272;0,271750182008139;0,204057794812029;0,135854892554744;0,0731608176620954;0,0183300422920866;0,00686973210493747;0,00911767541139512;0,00922500872028863;0,0085934952971103;0,00645287405917304;0,00429610891750442;0,00231354819292496;0,000579646832502071;0,000217240003667853
20;0,684861674972452;0,547699410167982;0,393543826901122;0,207240115850427;0,106657588487305;0,04560159757398;0,00886287804167665;0,00308615839221897;0,789647146506299;0,606319717067559;0,386321844164696;0,158650945956856;0,0679205504996687;0,0253117418918795;0,00443089363191354;0,00151204665602726;0,280434452623866;0,283273370216068;0,258957810166666;0,184912377833229;0,117097304883584;0,0604583922531706;0,0146850853331964;0,00543391341160791;0,00886811604673999;0,00895789050354879;0,00818896498016171;0,00584744281510635;0,00370294191299282;0,00191186223191898;0,000464383172868332;0,00017183542988817
30;0,666868054075183;0,525563216464686;0,369305134109044;0,186277969474983;0,0922936423474647;0,0380786003643725;0,00713622371492704;0,00246324389940097;0,763333012348405;0,569573071456807;0,351020186583075;0,139426969488912;0,0589206105388156;0,0218255588278532;0,00380938743268909;0,00129942271299607;0,282612870770097;0,279280621977164;0,246652305141636;0,164909287437305;0,098142266449562;0,0469303962569824;0,0100310038496486;0,00355989224039361;0,00893700367712331;0,00883162871796315;0,00779983074378429;0,00521488955617276;0,00310353096711743;0,00148406943666305;0,000317208193828069;0,000112573677044035
40;0,643924508332848;0,503354517824048;0,350670382041793;0,175635638197325;0,0870584422886692;0,0360306364188375;0,00677068320613521;0,00233783212923095;0,746074807596011;0,546578214088681;0,33008214404483;0,128608999897144;0,0539573717439916;0,0199209125389829;0,00347137469899056;0,00118385828182934;0,294287177564302;0,284493513226315;0,247423140128689;0,164699697422846;0,0987867662680831;0,0475391808428367;0,010079134479981;0,00355984551290367;0,00930617767285596;0,00899647481338394;0,00782420668637663;0,00520826173796759;0,00312391184089834;0,00150332089562007;0,000318730217998768;0,000112572199391059
