"distance";"mean mortality class 1";"mean mortality class 2";"mean mortality class 3";"mean mortality class 4";"mean mortality class 5";"mean mortality class 6";"mean mortality class 7";"mean mortality class 8"
0,2;0,921477638334576;0,882932063586829;0,817147655645774;0,665860240697637;0,4979764012252;0,306886343873675;0,0891029549015818;0,0346724764033408
0,5;0,886395793004088;0,838397337681825;0,757288434194481;0,584555780298622;0,413846318490026;0,239512378635604;0,0635910083439974;0,0239377164221562
1;0,876867832335677;0,818587553548472;0,723282820116216;0,531952271340643;0,357678139951432;0,195400802015305;0,0483290160241225;0,0177877426447194
2;0,865361010988842;0,797415682072;0,690412910488449;0,48414770983356;0,307141636944878;0,15544837859673;0,0345235097345324;0,0123207549893306
5;0,846244203336572;0,759793255624297;0,627915312687815;0,401978012335022;0,236321819146778;0,112163515208288;0,0237310551947972;0,008406675978508
10;0,81088281530347;0,707924880981108;0,563722380633729;0,340186911274498;0,19057287346489;0,086405579761938;0,0174247814234951;0,00609752078593892
15;0,802761651538221;0,694548143385803;0,546262708543507;0,325421338452436;0,182484927250049;0,083686504618965;0,0172464763381242;0,00608126344267915
20;0,789900636806864;0,668629812046437;0,510687462658571;0,289935033366889;0,156210943278326;0,069024107531025;0,0137540294300774;0,00481308536883699
30;0,774643519633749;0,647753359725868;0,4852074207583;0,264551724562413;0,136975077209097;0,0581632456946015;0,0111084472200383;0,00384677071299947
40;0,753104936641831;0,625394537556991;0,464041728295192;0,250221713253812;0,129309223079571;0,0550350123298181;0,0105430243715899;0,00365251772767427
50;0,733424907489576;0,599628909382978;0,436162223428399;0,228607069087451;0,115634003096075;0,0482788290383553;0,0090885029357151;0,00313712280362854
60;0,739030457578128;0,601739113800077;0,435702131920552;0,227868400463734;0,115492045975464;0,0482958710022603;0,00909645087031894;0,00313990794695192
70;0,717666707032494;0,569568291817182;0,397856330039972;0,195952850090317;0,0950849623540519;0,0385438720940689;0,00711468719985072;0,00244820028546042
80;0,731072251815437;0,587126221303953;0,416309788377698;0,208684087426098;0,102038052038213;0,0415709972181064;0,00770926941156754;0,00265557566874435
100;0,711028628346796;0,559925313496821;0,388811104731198;0,19137461561506;0,0931540256726329;0,0379793545491451;0,00707528198940986;0,00244026144985928
120;0,672742109464369;0,520262975440649;0,353506002757983;0,168659298266014;0,0804522183611864;0,0322662450981763;0,00591646279651896;0,00203390478192637
140;0,659012552746153;0,505319048491695;0,340258093269749;0,16083839475565;0,0763157030793632;0,0305554892162472;0,00561600869227978;0,00193284272827578
160;0,654954762753293;0,502848161272992;0,338526307518557;0,15868425862146;0,0744214952447602;0,0293894858803386;0,00532188525787941;0,00182541376538919
180;0,654903268320422;0,492504964838593;0,324059874806011;0,147872614676507;0,0684891425768676;0,0268744793086127;0,00485221272132055;0,00166361094310373
200;0,627198671418032;0,464432122792576;0,300719783777859;0,135799712219908;0,0631237784425236;0,0249947537801555;0,00455964383223323;0,0015665718200284
300;0,616587888495457;0,451528497130167;0,287671252491869;0,1260871275012;0,0571528525575316;0,0221535204614592;0,00397322697863978;0,0013609143858919
400;0,602479139583116;0,436903706342612;0,27519078494395;0,118742701591591;0,0531928156778128;0,0204329261019898;0,00364036752389576;0,0012455894181007
500;0,572011472956628;0,407684701497332;0,253943735852837;0,109299868357474;0,0491007473875295;0,018929651581446;0,00338411490848496;0,0011585516871235
600;0,574534157437196;0,402235847205309;0,244188796343501;0,101550232867959;0,0449305989132185;0,0172043105767245;0,0030674817146958;0,00104987711122627
700;0,539565011248434;0,37423157637021;0,225616391080867;0,0930477076502488;0,0408456963520863;0,0155193326592138;0,00274911090561525;0,000939820143820759
800;0,514259602613782;0,351596780966403;0,208387439455692;0,0839837700779341;0,0364172480774396;0,0137507205132706;0,00242919665419505;0,000830197608614703
900;0,519844461140595;0,351391644901946;0,206739693929916;0,0832905563062295;0,0361506754499141;0,0136439790575948;0,00240755487079772;0,000822582633955179
1000;0,528836801912942;0,361173514610433;0,214149187793606;0,0869132141497203;0,037924487626978;0,014374756729715;0,00254450370951172;0,000869784407951418
1200;0,479598035910884;0,31601626314928;0,180731537411277;0,070409620030184;0,0301103545372803;0,0112904163876666;0,00198688747175553;0,000678652329069817
1500;0,46330532947327;0,302648387255123;0,172641800342576;0,0673024979279223;0,0287208093927721;0,0107343536901489;0,00188406853816844;0,000643214712722947
2000;0,448084412143175;0,29115981716957;0,16493381934625;0,0636363506608944;0,0270030057713187;0,0100568945584673;0,00176151996984327;0,000601207622530149
