"distance";"mean mortality class 1";"mean mortality class 2";"mean mortality class 3";"mean mortality class 4";"mean mortality class 5";"mean mortality class 6";"mean mortality class 7";"mean mortality class 8";"median mortality class 1";"median mortality class 2";"median mortality class 3";"median mortality class 4";"median mortality class 5";"median mortality class 6";"median mortality class 7";"median mortality class 8";"SD mortality class 1";"SD mortality class 2";"SD mortality class 3";"SD mortality class 4";"SD mortality class 5";"SD mortality class 6";"SD mortality class 7";"SD mortality class 8";"SDERR mortality class 1";"SDERR mortality class 2";"SDERR mortality class 3";"SDERR mortality class 4";"SDERR mortality class 5";"SDERR mortality class 6";"SDERR mortality class 7";"SDERR mortality class 8"
0,2;0,765157381688984;0,616145622840922;0,412381792832662;0,154588414117204;0,0473485108545443;0,00926851416637225;0,000291918836267547;3,07896355806602e-05;0,954651992229527;0,764996196470344;0,333084296270404;0,0384172236869299;0,00542022222539208;0,000626968488868603;1,55769592086367e-05;1,62743403218444e-06;0,342924279951438;0,373308270639128;0,357608133452104;0,228618445972383;0,115222817911309;0,0376502909181317;0,00171685407982793;0,000184406229315553;0,0108442178961976;0,0118050440459821;0,011308562115101;0,0072295500440088;0,00364366543022583;0,00119060673869248;5,4291693024088e-05;5,83143699360461e-06
0,5;0,687054588842844;0,513675332978644;0,312744476799899;0,100250899054919;0,0267761196591394;0,00439033565856771;0,000120663208351034;1,26420168866441e-05;0,882824615050356;0,538117549947351;0,151646205191192;0,0140976659685953;0,00194672858635658;0,000224488876152039;5,57521053886555e-06;5,82476077616899e-07;0,370294774758608;0,38132197839739;0,332260539204925;0,181960746042293;0,0769967044379682;0,0190530695553107;0,000603684076262693;6,35022237585528e-05;0,0117097489389623;0,0120584597361727;0,0105070008048323;0,00575410402237114;0,00243484958350774;0,000602510962123934;1,9090166681649e-05;2,00811663562685e-06
1;0,640165624625522;0,447151708886768;0,243664138805586;0,067503586260692;0,0163454851430543;0,00235245677069923;6,08513672199866e-05;6,3637722009165e-06;0,815552539403398;0,406082806818665;0,0949445316361492;0,00832190002248099;0,00114338663571135;0,000131756897545868;3,27190378227161e-06;3,41834938211723e-07;0,375495618226286;0,367140701019816;0,29485132285847;0,145505335393753;0,0535100173184326;0,00937901232168251;0,000251971733397723;2,6375233977417e-05;0,011874214050081;0,0116100083697352;0,00932401751346433;0,00460128271550972;0,00169213532361303;0,000296590411393006;7,96804583517522e-06;8,34058131884996e-07
2;0,592617022746162;0,385309369318413;0,183299426496901;0,0369106809200885;0,0067510144728045;0,000838123794910001;2,10462150868181e-05;2,19939259188063e-06;0,745572910677708;0,311831386978915;0,0650028605207271;0,00553054787290035;0,000758028196769948;8,73207308471633e-05;2,1683316088483e-06;2,26538070245952e-07;0,378006474873241;0,345662355057686;0,243273019440921;0,0850620085445919;0,0214634985839242;0,00296440706610891;7,57240687573667e-05;7,91658139697875e-06;0,0119536143089065;0,0109308034336011;0,00769296834699733;0,00268989689349615;0,000678735420809993;9,3742782408015e-05;2,39460530968475e-06;2,50344284965705e-07
5;0,493257104548882;0,276280522679682;0,113041596485759;0,020361126789199;0,00385117338805755;0,000513891774611084;1,31644456625265e-05;1,376429221692e-06;0,524528181019571;0,14572720524333;0,025504752610816;0,00208923643731205;0,000285502460751249;3,28745775993572e-05;8,16291849555591e-07;8,52825996267349e-08;0,364961158716888;0,30438975479127;0,190179909530919;0,0641184079900434;0,0206840093352586;0,00386195786302711;0,000105878610876498;1,10886136661279e-05;0,0115410851903958;0,00962564921560564;0,00601401679322469;0,00202760209192476;0,000654085806436024;0,000122125830747622;3,3481756586441e-06;3,50652752786342e-07
10;0,411863729840704;0,211104805502426;0,076400942356961;0,0114850458485202;0,00189160656863613;0,000229508928429314;5,74470122161333e-06;6,00293808075064e-07;0,351307590904108;0,0772714682510778;0,0126851926347081;0,00102671419215523;0,000140175712724603;1,61386512436689e-05;4,00724067662008e-07;4,18658810854099e-08;0,358830082821782;0,268351010062401;0,148842547281775;0,0394651827367773;0,00963504251456926;0,00134094488914747;3,42814173520413e-05;3,58401361797033e-06;0,0113472035470369;0,00848600404203952;0,00470681462151714;0,00124799865722974;0,000304686796985949;4,240440066468e-05;1,08407360251269e-06;1,13336461978468e-07
15;0,38730065633109;0,197317431977259;0,0752362691877723;0,0128213495327788;0,0023995604787783;0,000325560724453123;8,36886065092011e-06;8,75090311877874e-07;0,291766793664141;0,0598877692923439;0,00967901415172732;0,000781214142989091;0,000106635341468509;1,2276730933705e-05;3,04831113636574e-07;3,18474059550485e-08;0,35358333412632;0,269492144758516;0,157743127550313;0,0490871019191343;0,0171243595260746;0,00325982181903997;8,90241751564576e-05;9,32227684525644e-06;0,0111812867851551;0,00852208988960717;0,00498827568297446;0,00155227045801287;0,000541519795739973;0,000103084617144795;2,81519160312183e-06;2,94796278096594e-07
20;0,339068003296626;0,159848602958665;0,0543294824946397;0,00818118456068036;0,00152895073473407;0,000198670024133059;5,03540361893751e-06;5,26333505997762e-07;0,217385722415892;0,0411827999855727;0,00654671987482283;0,000526867873776611;7,19013974600806e-05;8,27762132260073e-06;2,05532458000453e-07;2,14731198750788e-08;0,338041456698684;0,237789756800181;0,123942489017028;0,0391576043949097;0,0127526926380595;0,00199800940442697;5,21593128943118e-05;5,45581674430499e-06;0,0106898094672902;0,00751957235746083;0,00391940564164211;0,00123827217603734;0,000403275550363293;6,31826050442572e-05;1,64942229935415e-06;1,72528074084883e-07
30;0,30700721375989;0,130114301455343;0,0385241098238345;0,00471353276061454;0,00072551170638875;8,58463266353181e-05;2,13975225002046e-06;2,2357163141093e-07;0,168130943513343;0,0303057530785219;0,0047720963112916;0,000383419692289271;5,23186112623665e-05;6,02305605802106e-06;1,49551513219335e-07;1,56244782021956e-08;0,317607774258019;0,201837212343973;0,0927794621466405;0,021074820995113;0,00449479601058474;0,00057235106418976;1,4410796944986e-05;1,50605948611385e-06;0,0100436396923193;0,00638265307586006;0,00293394420468759;0,000666444356248935;0,000142137930112861;1,80993298406088e-05;4,55709412443521e-07;4,76257826782251e-08
40;0,284585550294649;0,120271425212123;0,0370588711793403;0,00469515269066123;0,000705608771478767;8,26828210725382e-05;2,05785100382607e-06;2,15006773550797e-07;0,142542809424042;0,0250614782148417;0,0039284046611223;0,000315386387862328;4,30327610728495e-05;4,95400386234124e-06;1,23006990889984e-07;1,28512240419039e-08;0,31128783372118;0,200547345532807;0,0964469857249484;0,0202129127986209;0,00361750191662749;0,000439049444260027;1,09791841108314e-05;1,14724336305675e-06;0,00984378562458697;0,00634186390584463;0,00304992148348583;0,000639188425900102;0,000114395454965674;1,38839624929283e-05;3,47192286405577e-07;3,62790205777081e-08
50;0,254583131598233;0,103133522758914;0,0294130682230997;0,0032890882867289;0,000469522689215494;5,44250038314322e-05;1,35255642285642e-06;1,41311936576177e-07;0,110889832173572;0,018920806198287;0,00295018417935963;0,0002366376524523;3,22857277019464e-05;3,7167519579134e-06;9,22861457998212e-08;9,64164633599483e-09;0,298486796285623;0,181936204586899;0,0787385253570271;0,0122757678385401;0,00184646045900317;0,000215782679740762;5,36820701747363e-06;5,60871179289229e-07;0,00943898127749256;0,00575332795340974;0,00248993079731128;0,00038819386397229;5,83902065988996e-05;6,82364747595479e-06;1,6975761126516e-07;1,77363040049862e-08
60;0,250121232054417;0,102755895564524;0,0301336998591015;0,00329275214498518;0,000466284545203376;5,3977136750107e-05;1,34119162273483e-06;1,40124008450879e-07;0,105899496669287;0,0179855834001584;0,00280210665654819;0,000224729480946651;3,06607173953663e-05;3,52967473941753e-06;8,76410430076853e-08;9,15634660391055e-09;0,296854593744123;0,186800871015753;0,0798422857983769;0,0111661181210609;0,00164179631720183;0,000191163656333531;4,75348187646137e-06;4,96639203193476e-07;0,00938736650115401;0,00590716221313111;0,00252483476716987;0,000353103658850323;5,19181581643405e-05;6,04512559859631e-06;1,5031829545949e-07;1,57051105742255e-08
70;0,204702183645739;0,0729893808055735;0,0186933687496981;0,0019370606854489;0,000273039124206881;3,15860781623599e-05;7,84765676394885e-07;8,19899993732458e-08;0,0746874616355997;0,0123273968091572;0,00191127925041811;0,000153159105769982;2,08948009454217e-05;2,40539752456911e-06;5,97254229742139e-08;6,23984655337576e-09;0,261239458263739;0,14441455623356;0,0569554297375521;0,00810948754166748;0,0011946452442082;0,000139121680300571;3,45946610291873e-06;3,61441827425493e-07;0,00826111702821913;0,00456678924980516;0,00180108883084351;0,000256444512884288;3,77779996758598e-05;4,39941381659584e-06;1,09397923733697e-07;1,14297941631807e-08
80;0,22467512121339;0,0814182028075449;0,0208304295388557;0,00231303891232585;0,000339126528848834;3,9544804910919e-05;9,83555757525441e-07;1,0276152745045e-07;0,0885449638706265;0,0147996761278933;0,00229945280345445;0,000184331082596592;2,51481291908193e-05;2,8950491338072e-06;7,18833851137289e-08;7,51005644487654e-09;0,271990702216339;0,150478303397762;0,0608701578514832;0,0124128331450329;0,00215586728544661;0,000259050171575694;6,46858468227588e-06;6,75896391936776e-07;0,0086011012139224;0,00475854177174784;0,00192488340344668;0,00039252824953935;6,81745095505565e-05;8,19188570436601e-06;2,04554608336684e-07;2,13737206081008e-08
100;0,198576091891158;0,0719092130088966;0,0187547850636504;0,00224843782834161;0,00034658453402371;4,09004046908606e-05;1,01896672862922e-06;1,06465337915135e-07;0,0632807404029813;0,0103382748033422;0,0016001564192716;0,000128190725327182;1,74881011077177e-05;2,01321412030867e-06;4,99875873571725e-08;5,22248075324421e-09;0,262936015138234;0,145025900614249;0,0608929105408322;0,0152571250995875;0,0030103750334447;0,000372118821105359;9,32810462671998e-06;9,74772073582777e-07;0,00831476686725331;0,00458612165658238;0,00192560290665905;0,000482472658608199;9,5196417169908e-05;1,17674303490967e-05;2,94980568727899e-07;3,08249995204682e-08
120;0,167114363427764;0,0571771124552213;0,0142875830414307;0,00146386958633835;0,00020657677335031;2,39043575491692e-05;5,93934312224747e-07;6,20525582382876e-08;0,0511868715663379;0,00827307345196319;0,00127824921684883;0,000102371919746935;1,39655231450078e-05;1,6076931701427e-06;3,99185909630396e-08;4,17051676510701e-09;0,239777060373096;0,127800784339255;0,0487324075003952;0,00715992634016655;0,00107527917859118;0,000125645158985398;3,12573790263127e-06;3,26577526684708e-07;0,00758241641438685;0,00404141565268023;0,00154105403564722;0,000226416751139598;3,40033132490309e-05;3,97324879367828e-06;9,88445114103243e-08;1,0327288169481e-08
140;0,157999453291116;0,0533601996907538;0,0130521550353679;0,00150870162294762;0,000228001860583682;2,67526717066227e-05;6,65949264086883e-07;6,95794641345768e-08;0,0417066404700856;0,00668482853082272;0,00103145717740049;8,25881602746588e-05;1,12664406150813e-05;1,29697514191501e-06;3,22035357564357e-08;3,36448210219316e-09;0,237100984037641;0,120401916512724;0,0480425851604897;0,0118082697508798;0,00216078852780715;0,000261958969779494;6,54884243461419e-06;6,84300695826379e-07;0,00749779145026171;0,00380744290829645;0,00151923993789754;0,000373410276384491;6,83301328983269e-05;8,28386998014417e-06;2,07092581309431e-07;2,16394880324944e-08
160;0,154851949635015;0,0497969267867171;0,0110075428571039;0,000992816427853912;0,000136963908757998;1,57923874462476e-05;3,92200715939181e-07;4,09755762813604e-08;0,0387343104035115;0,00619229305611266;0,000955059430981825;7,64656600661959e-05;1,04311715040433e-05;1,20081937205616e-06;2,98160116644554e-08;3,11504420347275e-09;0,22833611723974;0,109731773572797;0,0328785155278864;0,00342563473264825;0,000480195838439986;5,54973057207071e-05;1,37867415199615e-06;1,4403938822388e-07;0,00722062202556819;0,00347002336179912;0,00103970995153334;0,000108328081869504;1,51851257240459e-05;1,75497890080127e-06;4,35975047150902e-08;4,55492539564697e-09
180;0,137424966765236;0,0427717236472195;0,0095717993082402;0,000878513489567554;0,000121458699895457;1,40090492198561e-05;3,47926036335546e-07;3,63499670047974e-08;0,0297157530063474;0,00471338328488734;0,000726048117061173;5,81178950837222e-05;7,92810948656977e-06;9,12668952415614e-07;2,26613103668357e-08;2,36755283850325e-09;0,212261250193991;0,102272090226998;0,0326330398104292;0,00355005644849383;0,000499884353769211;5,78100871714841e-05;1,43624680407414e-06;1,50054673034275e-07;0,0067122900960787;0,0032341274618356;0,00103194732775906;0,000112262641994087;1,58077312459208e-05;1,82811547194771e-06;4,54181118301187e-08;4,74514540340158e-09
200;0,120117829724086;0,0388607036213872;0,00981936927967206;0,00108129346923443;0,000155598387454576;1,8065373585774e-05;4,49052791689059e-07;4,69162188271807e-08;0,0245548537698009;0,00387742779061894;0,000596853616961688;4,77705939457571e-05;6,51653184239412e-06;7,50169869583673e-07;1,86265014308514e-08;1,94601395333078e-09;0,20358263113443;0,106300509632518;0,043821835202057;0,00767563666440503;0,00120395199318692;0,000141714815609581;3,52888288796236e-06;3,68706234088348e-07;0,00643784806434706;0,00336151726875427;0,00138576810487045;0,000242724943514174;3,8072304919702e-05;4,48141595517058e-06;1,11593075219538e-07;1,16595148722239e-08
