"distance";"median mortality class 1";"median mortality class 2";"median mortality class 3";"median mortality class 4";"median mortality class 5";"median mortality class 6";"median mortality class 7";"median mortality class 8"
0,2;0,954651992229527;0,764996196470344;0,333084296270404;0,0384172236869299;0,00542022222539208;0,000626968488868603;1,55769592086367e-05;1,62743403218444e-06
0,5;0,882824615050356;0,538117549947351;0,151646205191192;0,0140976659685953;0,00194672858635658;0,000224488876152039;5,57521053886555e-06;5,82476077616899e-07
1;0,815552539403398;0,406082806818665;0,0949445316361492;0,00832190002248099;0,00114338663571135;0,000131756897545868;3,27190378227161e-06;3,41834938211723e-07
2;0,745572910677708;0,311831386978915;0,0650028605207271;0,00553054787290035;0,000758028196769948;8,73207308471633e-05;2,1683316088483e-06;2,26538070245952e-07
5;0,524528181019571;0,14572720524333;0,025504752610816;0,00208923643731205;0,000285502460751249;3,28745775993572e-05;8,16291849555591e-07;8,52825996267349e-08
10;0,351307590904108;0,0772714682510778;0,0126851926347081;0,00102671419215523;0,000140175712724603;1,61386512436689e-05;4,00724067662008e-07;4,18658810854099e-08
15;0,291766793664141;0,0598877692923439;0,00967901415172732;0,000781214142989091;0,000106635341468509;1,2276730933705e-05;3,04831113636574e-07;3,18474059550485e-08
20;0,217385722415892;0,0411827999855727;0,00654671987482283;0,000526867873776611;7,19013974600806e-05;8,27762132260073e-06;2,05532458000453e-07;2,14731198750788e-08
30;0,168130943513343;0,0303057530785219;0,0047720963112916;0,000383419692289271;5,23186112623665e-05;6,02305605802106e-06;1,49551513219335e-07;1,56244782021956e-08
40;0,142542809424042;0,0250614782148417;0,0039284046611223;0,000315386387862328;4,30327610728495e-05;4,95400386234124e-06;1,23006990889984e-07;1,28512240419039e-08
50;0,110889832173572;0,018920806198287;0,00295018417935963;0,0002366376524523;3,22857277019464e-05;3,7167519579134e-06;9,22861457998212e-08;9,64164633599483e-09
60;0,105899496669287;0,0179855834001584;0,00280210665654819;0,000224729480946651;3,06607173953663e-05;3,52967473941753e-06;8,76410430076853e-08;9,15634660391055e-09
70;0,0746874616355997;0,0123273968091572;0,00191127925041811;0,000153159105769982;2,08948009454217e-05;2,40539752456911e-06;5,97254229742139e-08;6,23984655337576e-09
80;0,0885449638706265;0,0147996761278933;0,00229945280345445;0,000184331082596592;2,51481291908193e-05;2,8950491338072e-06;7,18833851137289e-08;7,51005644487654e-09
100;0,0632807404029813;0,0103382748033422;0,0016001564192716;0,000128190725327182;1,74881011077177e-05;2,01321412030867e-06;4,99875873571725e-08;5,22248075324421e-09
120;0,0511868715663379;0,00827307345196319;0,00127824921684883;0,000102371919746935;1,39655231450078e-05;1,6076931701427e-06;3,99185909630396e-08;4,17051676510701e-09
140;0,0417066404700856;0,00668482853082272;0,00103145717740049;8,25881602746588e-05;1,12664406150813e-05;1,29697514191501e-06;3,22035357564357e-08;3,36448210219316e-09
160;0,0387343104035115;0,00619229305611266;0,000955059430981825;7,64656600661959e-05;1,04311715040433e-05;1,20081937205616e-06;2,98160116644554e-08;3,11504420347275e-09
180;0,0297157530063474;0,00471338328488734;0,000726048117061173;5,81178950837222e-05;7,92810948656977e-06;9,12668952415614e-07;2,26613103668357e-08;2,36755283850325e-09
200;0,0245548537698009;0,00387742779061894;0,000596853616961688;4,77705939457571e-05;6,51653184239412e-06;7,50169869583673e-07;1,86265014308514e-08;1,94601395333078e-09
300;0,0211160817375054;0,00332454556488472;0,000511508078330808;4,09365452994333e-05;5,58424554543133e-06;6,42846440072232e-07;1,59616899692829e-08;1,66760631029657e-09
400;0,0179759963434755;0,00282253853481288;0,000434085284544453;3,47378401296037e-05;4,73864096918416e-06;5,45501836191852e-07;1,35446505071483e-08;1,4150847843221e-09
500;0,0131971210984607;0,00206370698214303;0,00031717841408422;2,53795923152744e-05;3,4620403409077e-06;3,98541953623742e-07;9,89567833224118e-09;1,03385641330115e-09
600;0,0130719587948285;0,00204391637425526;0,000314131463531839;2,51357148264849e-05;3,42877219433056e-06;3,94712191120841e-07;9,80058643029094e-09;1,02392163467914e-09
700;0,00828714150184541;0,00129048949815444;0,000198209919743038;1,58583814450356e-05;2,16323037022216e-06;2,49025713790129e-07;6,18323360546438e-09;6,45996715138654e-10
800;0,00706932293811702;0,00109970812468095;0,000168879960300784;1,35113850086877e-05;1,84307454349332e-06;2,12170109124667e-07;5,26811983264456e-09;5,50389702412055e-10
900;0,00675850782240894;0,00105107964298319;0,000161405530050682;1,29132980210667e-05;1,76148918443136e-06;2,02778193000916e-07;5,03492134116895e-09;5,26026162291022e-10
1000;0,00871270103381077;0,00135725049095055;0,000208475732247478;1,6679886354165e-05;2,27529287741187e-06;2,61926097609499e-07;6,50354633915344e-09;6,79461563499434e-10
1200;0,00498908081191836;0,000774733889229551;0,000118941571120363;9,51558444672368e-06;1,29800689816629e-06;1,49423219684509e-07;3,71013326128687e-09;3,87618202244806e-10
1500;0,00398113368468703;0,000617685278448001;9,48179548003115e-05;7,58547426324497e-06;1,03472167792803e-06;1,19114473725097e-07;2,95757619690792e-09;3,08994391020099e-10
2000;0,0032507379952731;0,000504049780231114;7,73668572493201e-05;6,18928009142474e-06;8,44268180985718e-07;9,71899451369763e-08;2,41319676089532e-09;2,52120051534266e-10
