"distance";"SD mortality class 1";"SD mortality class 2";"SD mortality class 3";"SD mortality class 4";"SD mortality class 5";"SD mortality class 6";"SD mortality class 7";"SD mortality class 8"
0,2;0,342924279951438;0,373308270639128;0,357608133452104;0,228618445972383;0,115222817911309;0,0376502909181317;0,00171685407982793;0,000184406229315553
0,5;0,370294774758608;0,38132197839739;0,332260539204925;0,181960746042293;0,0769967044379682;0,0190530695553107;0,000603684076262693;6,35022237585528e-05
1;0,375495618226286;0,367140701019816;0,29485132285847;0,145505335393753;0,0535100173184326;0,00937901232168251;0,000251971733397723;2,6375233977417e-05
2;0,378006474873241;0,345662355057686;0,243273019440921;0,0850620085445919;0,0214634985839242;0,00296440706610891;7,57240687573667e-05;7,91658139697875e-06
5;0,364961158716888;0,30438975479127;0,190179909530919;0,0641184079900434;0,0206840093352586;0,00386195786302711;0,000105878610876498;1,10886136661279e-05
10;0,358830082821782;0,268351010062401;0,148842547281775;0,0394651827367773;0,00963504251456926;0,00134094488914747;3,42814173520413e-05;3,58401361797033e-06
15;0,35358333412632;0,269492144758516;0,157743127550313;0,0490871019191343;0,0171243595260746;0,00325982181903997;8,90241751564576e-05;9,32227684525644e-06
20;0,338041456698684;0,237789756800181;0,123942489017028;0,0391576043949097;0,0127526926380595;0,00199800940442697;5,21593128943118e-05;5,45581674430499e-06
30;0,317607774258019;0,201837212343973;0,0927794621466405;0,021074820995113;0,00449479601058474;0,00057235106418976;1,4410796944986e-05;1,50605948611385e-06
40;0,31128783372118;0,200547345532807;0,0964469857249484;0,0202129127986209;0,00361750191662749;0,000439049444260027;1,09791841108314e-05;1,14724336305675e-06
50;0,298486796285623;0,181936204586899;0,0787385253570271;0,0122757678385401;0,00184646045900317;0,000215782679740762;5,36820701747363e-06;5,60871179289229e-07
60;0,296854593744123;0,186800871015753;0,0798422857983769;0,0111661181210609;0,00164179631720183;0,000191163656333531;4,75348187646137e-06;4,96639203193476e-07
70;0,261239458263739;0,14441455623356;0,0569554297375521;0,00810948754166748;0,0011946452442082;0,000139121680300571;3,45946610291873e-06;3,61441827425493e-07
80;0,271990702216339;0,150478303397762;0,0608701578514832;0,0124128331450329;0,00215586728544661;0,000259050171575694;6,46858468227588e-06;6,75896391936776e-07
100;0,262936015138234;0,145025900614249;0,0608929105408322;0,0152571250995875;0,0030103750334447;0,000372118821105359;9,32810462671998e-06;9,74772073582777e-07
120;0,239777060373096;0,127800784339255;0,0487324075003952;0,00715992634016655;0,00107527917859118;0,000125645158985398;3,12573790263127e-06;3,26577526684708e-07
140;0,237100984037641;0,120401916512724;0,0480425851604897;0,0118082697508798;0,00216078852780715;0,000261958969779494;6,54884243461419e-06;6,84300695826379e-07
160;0,22833611723974;0,109731773572797;0,0328785155278864;0,00342563473264825;0,000480195838439986;5,54973057207071e-05;1,37867415199615e-06;1,4403938822388e-07
180;0,212261250193991;0,102272090226998;0,0326330398104292;0,00355005644849383;0,000499884353769211;5,78100871714841e-05;1,43624680407414e-06;1,50054673034275e-07
200;0,20358263113443;0,106300509632518;0,043821835202057;0,00767563666440503;0,00120395199318692;0,000141714815609581;3,52888288796236e-06;3,68706234088348e-07
300;0,183225111224333;0,0832424690833039;0,0272759682487708;0,00299384996390612;0,000421508157418303;4,87442045605379e-05;1,21100546548771e-06;1,26522131280235e-07
400;0,172601003950757;0,0728943696923359;0,0192688667629689;0,00182858708037075;0,000253211809633968;2,92112651171884e-05;7,25503325509334e-07;7,57978250439643e-08
500;0,171201209587222;0,0726737471251989;0,0235348378722331;0,00272484250470315;0,00038708506175772;4,48241058203654e-05;1,11380768065382e-06;1,16367666890434e-07
600;0,148170440023392;0,0660619969029569;0,0237509835045334;0,00314328894267193;0,000455927518572864;5,29627012364086e-05;1,3165712578368e-06;1,37553136987491e-07
700;0,141274854702631;0,057629842311343;0,0140591122670077;0,00127264451986105;0,000175397835141109;2,02207198656551e-05;5,02167059814121e-07;5,24643992218469e-08
800;0,11961588328714;0,0487374906355232;0,0149140411949794;0,00153657760388269;0,000214601036339132;2,47875066409371e-05;6,15729557388936e-07;6,43293099010414e-08
900;0,128435615754477;0,0480108284212719;0,0109971711244439;0,000974076372603486;0,000133986843255165;1,54423758505881e-05;3,8348679709029e-07;4,00651294191089e-08
1000;0,132960673053322;0,0548671481268512;0,0149601178060587;0,00144657628728525;0,000200698823480938;2,31596176261127e-05;5,75222320879954e-07;6,00970861971598e-08
1200;0,102019959889986;0,0421447551652367;0,0117167773384852;0,00113894018342672;0,000158094697733081;1,82445971932357e-05;4,53150533208004e-07;4,73434899903735e-08
1500;0,104161910608181;0,0349107911834531;0,00730080256073432;0,000627744900711228;8,6126980336367e-05;9,9227889293508e-06;2,46405300804612e-07;2,57433892645132e-08
2000;0,0959136242558904;0,029564917557154;0,00598348819857698;0,000512569339530503;7,03102040133782e-05;8,10029231628086e-06;2,01147872934219e-07;2,10150818886169e-08
