"distance";"mean mortality class 1";"mean mortality class 2";"mean mortality class 3";"mean mortality class 4";"mean mortality class 5";"mean mortality class 6";"mean mortality class 7";"mean mortality class 8"
0,2;0,82016541895286;0,687650066408544;0,484740448116719;0,196367082769029;0,0628767455886211;0,0127197010977603;0,000414068834400447;4,37954128686303e-05
0,5;0,751136140263633;0,586973624253478;0,377242689887318;0,130276431310129;0,0362760362811715;0,00612232330209359;0,000170209004367818;1,78386622926015e-05
1;0,706269824148011;0,519910551563094;0,300705197390159;0,0888904418231585;0,0224294920007896;0,00332145698130545;8,64237715664074e-05;9,03965977630417e-06
2;0,663982083663002;0,45798483068344;0,232410881502295;0,0505336272009727;0,00956419769591286;0,00120097330504683;3,02117211202873e-05;3,15736586305426e-06
5;0,571342261192131;0,338875937460995;0,146123044256783;0,0276467029164706;0,00532104437159766;0,00071786555827561;1,84503854013741e-05;1,92935246468851e-06
10;0,484586521736337;0,263807944682009;0,100671148965754;0,0158648339943147;0,00264992969749526;0,000323644742232213;8,11063858398698e-06;8,47540921336432e-07
15;0,456963513676399;0,244953362469397;0,0977766721095749;0,0174407574888405;0,00331061134779663;0,00045808770109486;1,18322014079432e-05;1,23740417405882e-06
20;0,404833211230128;0,201467787841714;0,0720165194709433;0,0112502868106642;0,00212536502149352;0,000279311752862417;7,09695637273627e-06;7,41881813675127e-07
30;0,372330504715281;0,168097540613428;0,0520779198306899;0,00654602928920984;0,00101505361498045;0,000120353830842399;3,00141270291349e-06;3,13605870354339e-07
40;0,347483683152571;0,154650653850522;0,0495359008620355;0,00651966984893403;0,000992364216064148;0,000116580970790816;2,90260988932106e-06;3,03270817008927e-07
50;0,312549335764254;0,133718726588263;0,0399770007341679;0,00464178491441189;0,000667264969172705;7,74318071060899e-05;1,92461038755659e-06;2,01079504482449e-07
60;0,307164992737105;0,132443904275889;0,0406996016256669;0,00463172633285308;0,000660853266097213;7,65868784946201e-05;1,90324918208612e-06;1,98846865827218e-07
70;0,257230469787979;0,0965122648168242;0,0257154905739642;0,00274414739466225;0,000388733148237541;4,50097321064517e-05;1,11841510862237e-06;1,16849027933075e-07
80;0,280159178952534;0,107312611151684;0,0285418760081376;0,0032499294021867;0,000479199939964596;5,59236985824066e-05;1,39099614816407e-06;1,45330896206719e-07
100;0,247837898450927;0,0949409309619372;0,0257471087133596;0,00315475053409681;0,000492346928268673;5,83655318571814e-05;1,45492334060637e-06;1,52017707189256e-07
120;0,211554786183789;0,0759314172506027;0,0197350449751103;0,00208083351149506;0,000295143089105572;3,4182380991408e-05;8,49418290948034e-07;8,87450645234434e-08
140;0,199911150495291;0,0712061119175167;0,0179317602684585;0,00211082327610582;0,00032634005415518;3,85486736827451e-05;9,60509522402898e-07;1,0035783544754e-07
160;0,197488306554245;0,0672717056714791;0,015567112738009;0,00143548296488911;0,000198462694153435;2,28906912382495e-05;5,68508722356254e-07;5,93955929981127e-08
180;0,176078658718141;0,0574310665499386;0,0133768948446337;0,00125190468031473;0,000173459460539693;2,00128211813014e-05;4,97053429591221e-07;5,19302654409248e-08
200;0,154468768902864;0,0515410908500778;0,0133215777702066;0,00150292376720843;0,000217848908982072;2,5331943057921e-05;6,29783982091569e-07;6,57989371036783e-08
300;0,139522296072799;0,0417879234609338;0,00939003669300933;0,000877091274967764;0,000121466600386678;1,40137100755706e-05;3,48053708919438e-07;3,63633341475822e-08
400;0,127835916603615;0,0368768598376024;0,0076170276834261;0,000667412326069332;9,17803763951097e-05;1,05778960698293e-05;2,62685052435929e-07;2,74442577429812e-08
500;0,115909439609182;0,0343536990918393;0,00746914288328026;0,000697110368937763;9,6761575988601e-05;1,11684514404874e-05;2,77397524120482e-07;2,89814685385803e-08
600;0,0982284444512695;0,0273531220032735;0,00606351647709396;0,000590229074628835;8,24193727227114e-05;9,5217788024336e-06;2,36532100443831e-07;2,47120811169843e-08
700;0,0881814210082686;0,0242063778468506;0,00483030922052136;0,000414313523552044;5,68483628259583e-05;6,54959901703639e-06;1,62641477025216e-07;1,69920976054172e-08
800;0,0750379454461794;0,0187539623743844;0,00379734306075156;0,000336461321005737;4,6359384048271e-05;5,34427737701981e-06;1,32720520817919e-07;1,38661055876232e-08
900;0,0742040708268703;0,0195294078788487;0,00374496974154454;0,00031715115059416;4,34612987780622e-05;5,00638785301011e-06;1,243172975674e-07;1,2988141990633e-08
1000;0,0783851959822927;0,0212005606073262;0,00433779262644309;0,000381909570251233;5,25613645036337e-05;6,05810000635704e-06;1,50444077393841e-07;1,57177827961319e-08
1200;0,0553849882032211;0,013670810797778;0,0027311124326982;0,00023915507581314;3,28917267811237e-05;3,79114739854375e-06;9,41480158256347e-08;9,83620114947126e-09
1500;0,0545423132791026;0,0131421691684652;0,00236245386163285;0,000196048614431592;2,68223445445279e-05;3,08901234004883e-06;7,6703317270832e-08;8,01363074981465e-09
2000;0,0493904409801743;0,0114283008628899;0,00200821115081501;0,000165710560574305;2,26641652108796e-05;2,61000887102725e-06;6,48087748364446e-08;6,77093946427343e-09
