"distance";"SDERR mortality class 1";"SDERR mortality class 2";"SDERR mortality class 3";"SDERR mortality class 4";"SDERR mortality class 5";"SDERR mortality class 6";"SDERR mortality class 7";"SDERR mortality class 8"
0,2;0,0100469491146859;0,0116407911398641;0,0119676750225886;0,00841246654875976;0,00443356664565558;0,00152576672828438;7,58968440693023e-05;8,2335327567901e-06
0,5;0,0111693664589423;0,0122828363726426;0,0114979753907695;0,00686858293348732;0,00305424394479953;0,000804772323901594;2,62673544377986e-05;2,76521784908629e-06
1;0,0116524032681109;0,0121671388195847;0,0104581369597406;0,00556842775695461;0,00219262394401358;0,000406926599618322;1,10575635560006e-05;1,15786586746714e-06
2;0,0119545720690962;0,0117710947131076;0,00896721786952356;0,0034528462898992;0,00092704742595607;0,00013169672296839;3,37901869964482e-06;3,53306321353985e-07
5;0,0118869813593878;0,0106832487839962;0,00713638615015766;0,00253765191367892;0,000838522371147764;0,000163946208079037;4,55238864271184e-06;4,76992876617087e-07
10;0,012025802360366;0,00970723349564698;0,00572219122814263;0,0016147868645465;0,000406403948597374;5,81395788429535e-05;1,49377330042699e-06;1,56182188291809e-07
15;0,0118879081759343;0,00966494646814824;0,00597354221854567;0,00195227958400155;0,00069541831958177;0,000142776629793117;3,95344142494683e-06;4,14146292412975e-07
20;0,0115501226535455;0,00872257680120456;0,00481724002849176;0,00153197523011145;0,000522796953220824;8,50816819590364e-05;2,23726061805251e-06;2,34074029090804e-07
30;0,011121215681993;0,00758965283712049;0,00368010178660833;0,000851572201197615;0,00018820369781485;2,42189961228602e-05;6,11311840012213e-07;6,38913629306131e-08
40;0,0109243625169669;0,007458980244974;0,00378131004449722;0,000848131433480422;0,000157273893789669;1,92287139990571e-05;4,81351599672785e-07;5,02988890372639e-08
50;0,0105438831385422;0,00688320194812573;0,00316500374260319;0,000529086676855655;8,07092896054394e-05;9,45312001252215e-06;2,35248269756671e-07;2,45789589667264e-08
60;0,0104631674255663;0,00701458921569508;0,0032284071747407;0,000485585568448598;7,25439637956526e-05;8,4675748069322e-06;2,10617458915421e-07;2,20052582707358e-08
70;0,00944941079309923;0,00556512055411255;0,00233192378090803;0,000352915334225864;5,25846379369854e-05;6,13616871419508e-06;1,52628092927468e-07;1,59465455121242e-08
80;0,00981601967578632;0,00579600690495862;0,00242705811339374;0,00052106043028591;9,24383574644981e-05;1,11400118656374e-05;2,78201228359746e-07;2,90690582970569e-08
100;0,00953941309159983;0,00560549956365252;0,00242559159433396;0,000633057341907668;0,000131078918760233;1,64444486424875e-05;4,12969969721929e-07;4,31565094892043e-08
120;0,00879742216063681;0,0049503412394045;0,00200193374742853;0,000310411517774034;4,71517012918613e-05;5,52048827033205e-06;1,37383842108445e-07;1,43539972147523e-08
140;0,00872424566304472;0,00470189391653197;0,00188136480755496;0,000495235465626563;9,78583555201163e-05;1,20987126445206e-05;3,03294487924077e-07;3,16938115307176e-08
160;0,00847018112756934;0,00439511197673717;0,00142114451135708;0,000154560428039256;2,17529668538141e-05;2,51553838938417e-06;6,24962069369585e-08;6,52941160385332e-09
180;0,0078962089553111;0,00403938264788292;0,0013769773598144;0,000154918353685817;2,1905180810009e-05;2,53465536347441e-06;6,29759154509184e-08;6,57954143560038e-09
200;0,00752161088949523;0,00408723532942457;0,001736566554315;0,000324218739125009;5,2048058394937e-05;6,15700161630001e-06;1,53397884108395e-07;1,6027575398282e-08
300;0,00692624015249018;0,0032887952229589;0,00115387704948697;0,000132910188977932;1,87907470274291e-05;2,17439322995213e-06;5,40252362753681e-08;5,64440125662438e-09
400;0,00655502049079118;0,00293134407360876;0,000821938704478301;8,0724181982321e-05;1,12218280937165e-05;1,29538778044633e-06;3,21753471240276e-08;3,36156383328869e-09
500;0,00655715732009137;0,00292217777801349;0,000992251209835625;0,000121852922421483;1,74861282169686e-05;2,02886692677445e-06;5,04227234412375e-08;5,26805270316976e-09
600;0,00565526639114444;0,00260611983614114;0,000980028178481531;0,000136496144016765;1,98919715933811e-05;2,3131190987898e-06;5,75093457108391e-08;6,00850003032834e-09
700;0,0054164948121031;0,00235061403342971;0,000605764634479961;5,57992923071316e-05;7,70336002271409e-06;8,88272609138024e-07;2,20602174063322e-08;2,30476442878376e-09
800;0,00469304390506925;0,00195467976865035;0,000630376685831053;6,62080096687605e-05;9,27905071489198e-06;1,0721702400217e-06;2,66342945769733e-08;2,78266260847299e-09
900;0,0049660128482605;0,00198895765404474;0,00048234754254698;4,35910592258815e-05;6,00512977574668e-06;6,9225553534955e-07;1,71915262941492e-08;1,79610133726906e-09
1000;0,00509915383527465;0,00220743376374745;0,00064349408869427;6,48875001852277e-05;9,0467668202684e-06;1,04450442304879e-06;2,59444189531019e-08;2,7105804603357e-09
1200;0,00395362280992304;0,00168696577104527;0,000502809265691461;5,08263411203287e-05;7,08259769937265e-06;8,18038470464318e-07;2,03202197573196e-08;2,12298650929328e-09
1500;0,00409545419088637;0,00144135739220548;0,000309269641188689;2,68591123640923e-05;3,68865437737485e-06;4,25032600954986e-07;1,05547057164854e-08;1,10271169204299e-09
2000;0,00381070085456522;0,00124982694794909;0,000264355995044325;2,297735456599e-05;3,15832718373128e-06;3,63969978237625e-07;9,03849761345521e-09;9,44304921828137e-10
