"distance";"mean mortality class 1";"mean mortality class 2";"mean mortality class 3";"mean mortality class 4";"mean mortality class 5";"mean mortality class 6";"mean mortality class 7";"mean mortality class 8";"median mortality class 1";"median mortality class 2";"median mortality class 3";"median mortality class 4";"median mortality class 5";"median mortality class 6";"median mortality class 7";"median mortality class 8";"SD mortality class 1";"SD mortality class 2";"SD mortality class 3";"SD mortality class 4";"SD mortality class 5";"SD mortality class 6";"SD mortality class 7";"SD mortality class 8";"SDERR mortality class 1";"SDERR mortality class 2";"SDERR mortality class 3";"SDERR mortality class 4";"SDERR mortality class 5";"SDERR mortality class 6";"SDERR mortality class 7";"SDERR mortality class 8"
0,2;0,702199092731631;0,571653896369524;0,419306490661103;0,226577322822465;0,118478614053827;0,0512540036890759;0,0100111528333402;0,00348387759539785;0,810650550591866;0,637218441809516;0,41791070596478;0,176992792435891;0,0767295701587513;0,0287651197609595;0,00505017850240693;0,00172408469372045;0,284087181191173;0,287589974508252;0,265268978856053;0,193115490228657;0,124669476587475;0,0649976425115927;0,0151375208646462;0,00547052519139803;0,00898362546621052;0,00909439351675838;0,00838854165772174;0,00610684800582547;0,00394239500717458;0,0020554059287802;0,000478690440606033;0,000172993196021463
0,5;0,631228176922673;0,492654252350723;0,34382987802302;0,173365442698946;0,0863607221078639;0,0358617637374328;0,00675396456017398;0,00233288198570246;0,723890100555405;0,518220028319654;0,305391809394168;0,116371428718726;0,0484284244602938;0,0178139761890563;0,0030987246051489;0,0010565114605651;0,301760095553317;0,290567359748823;0,252538945576706;0,167952227399439;0,100548015618357;0,0483613759052662;0,0102477820675153;0,0036175548278235;0,00954249208898529;0,00918854670507813;0,00798598265919696;0,00531111576680764;0,00317960743564192;0,00152932098640229;0,000324063322983777;0,000114397128164605
1;0,589783844156157;0,443234144566383;0,295319964903449;0,139821151957231;0,0669440807476719;0,0269923568057437;0,00496989916224924;0,00170959297696512;0,670285078230723;0,454760698694773;0,254241256124747;0,0926569652348146;0,0379646789116409;0,0138685704859972;0,00240444632596814;0,000819420878653586;0,296642232529634;0,276736995194653;0,230410661258518;0,144167378236155;0,0822452622323619;0,0375445296163796;0,00751090382372452;0,00261868924648112;0,00938065104990936;0,00875119217646175;0,00728622486762436;0,00455897279521238;0,00260082355412088;0,00118726227267407;0,000237515633694373;8,2810225030704e-05
2;0,54900141198965;0,396619719651834;0,250736718361669;0,109221803977152;0,0492486170669872;0,018996108286065;0,00339407536753241;0,00116182793697902;0,625541153433697;0,406658572402002;0,218835739234866;0,0774174688951479;0,0314091303734667;0,0114244014687398;0,00197664139773306;0,000673437135756013;0,289574878006161;0,257951320326451;0,199794123255711;0,109629095032619;0,0561280601595418;0,0234347772709812;0,00439055072245341;0,00151389205807845;0,00915716167664866;0,00815713697679274;0,00631804492604462;0,00346677638126126;0,00177492510751106;0,000741072726350454;0,000138841404654506;4,78734703516781e-05
5;0,477101994792763;0,323063050109876;0,191468852822309;0,0781165846039336;0,0342538308816943;0,0130440279332207;0,00231814876119349;0,000793028045780913;0,511713942584001;0,300679058517705;0,149473813312384;0,0500097311262999;0,0199375115377494;0,00719760547742452;0,00124093653246314;0,000422578817871683;0,273294747295207;0,231840029633622;0,170329580072697;0,0888137102014871;0,0450741782402514;0,0190843755670878;0,00365884893906381;0,00126790743665084;0,00864233874012997;0,00733142546443178;0,0053862942592975;0,00280853611686831;0,00142537066899595;0,000603500945140651;0,000115702962619323;4,0094753620823e-05
10;0,416840926182447;0,27058573725328;0,15358772373975;0,059569044303915;0,0253915426829983;0,00949314010646018;0,0016673524043966;0,000569316269030264;0,427340603116753;0,234398084470977;0,111222933397144;0,0361307806339826;0,0142789094779911;0,00513585531995367;0,000883951707076396;0,000300943061183167;0,267177974340883;0,214602494280645;0,147942525513157;0,0706382355503457;0,0335762737084206;0,0134303345621368;0,0024574999315562;0,000844442331933411;0,00844890939547215;0,00678632673480097;0,00467835343419148;0,0022337771423457;0,00106177500259837;0,000424704469544325;7,77129713342549e-05;2,67036112157352e-05
15;0,402079914829937;0,259417323658328;0,147580401556877;0,0580077742575542;0,0250271145755157;0,00944954910194997;0,00167188211144106;0,000571579151855625;0,395737827384595;0,211787062514895;0,0989581468151712;0,031849835777127;0,012553357996488;0,00451015161630904;0,00077585548764549;0,0002641226486134;0,265721289042588;0,215436612781743;0,151598429640271;0,0755962352852056;0,0375717679800851;0,0157821159717371;0,00302163402320594;0,00104713029747737;0,00840284496170519;0,00681270387782052;0,00479396327368037;0,00239056286035238;0,00118812362536453;0,000499074327676109;9,55524576878885e-05;3,31131674699815e-05
20;0,368211781937424;0,229511142651473;0,125999982086037;0,0475671414271114;0,0201231917903583;0,0075144052022472;0,00132080110780609;0,000451085026365177;0,351746504656648;0,182082353392984;0,0834039752134519;0,0265330838850222;0,0104231223985063;0,00373963456138836;0,000642895845556123;0,000218840305190546;0,252012132893637;0,196850291515869;0,132183796985718;0,062559276953324;0,0304784533906695;0,0126144551741379;0,00237599230390806;0,000820562246287718;0,00796932337940933;0,00622495279258267;0,00418001868244167;0,00197829803945783;0,000963813322737974;0,000398904097923716;7,51354738338046e-05;2,59484566021323e-05
30;0,343959468120448;0,20765728378701;0,109982556374638;0,0397776903152713;0,0164272918595403;0,00603888160526672;0,00105104191954067;0,000358399574585311;0,31796730612692;0,160560978183294;0,0725119829474284;0,0228826346353711;0,00896867855935212;0,00321477580505675;0,000552424238080533;0,000188032744828865;0,238356287265121;0,177333582392249;0,112479529488531;0,0487469231938484;0,0220304123248472;0,00854153249732407;0,00153284270340932;0,000525097785235506;0,0075374876237917;0,00560778025996637;0,00355691503327833;0,00154151306217851;0,000696662807391626;0,000270106973998901;4,8472742375434e-05;1,66050499565414e-05
40;0,326189141798764;0,195882568131868;0,103694542616127;0,037633132165981;0,0155735430480701;0,00573002557915027;0,000997611986485948;0,000340192767954879;0,298095211647054;0,148385995548535;0,0664847468750025;0,0208877106567575;0,00817663175076495;0,00292936871103877;0,000503260793987474;0,000171293059644749;0,238704071794062;0,177000441782069;0,11297541215742;0,0493758508242367;0,0222568082508813;0,00857418903072332;0,00153000713492115;0,000523613408722752;0,0075484855362559;0,0055972454288737;0,00357259622013724;0,0015614015001329;0,000703822075184132;0,000271139664259171;4,83830738265939e-05;1,65581098496857e-05
