"distance";"mean mortality class 1";"mean mortality class 2";"mean mortality class 3";"mean mortality class 4";"mean mortality class 5";"mean mortality class 6";"mean mortality class 7";"mean mortality class 8"
0,2;0,702199092731631;0,571653896369524;0,419306490661103;0,226577322822465;0,118478614053827;0,0512540036890759;0,0100111528333402;0,00348387759539785
0,5;0,631228176922673;0,492654252350723;0,34382987802302;0,173365442698946;0,0863607221078639;0,0358617637374328;0,00675396456017398;0,00233288198570246
1;0,589783844156157;0,443234144566383;0,295319964903449;0,139821151957231;0,0669440807476719;0,0269923568057437;0,00496989916224924;0,00170959297696512
2;0,54900141198965;0,396619719651834;0,250736718361669;0,109221803977152;0,0492486170669872;0,018996108286065;0,00339407536753241;0,00116182793697902
5;0,477101994792763;0,323063050109876;0,191468852822309;0,0781165846039336;0,0342538308816943;0,0130440279332207;0,00231814876119349;0,000793028045780913
10;0,416840926182447;0,27058573725328;0,15358772373975;0,059569044303915;0,0253915426829983;0,00949314010646018;0,0016673524043966;0,000569316269030264
15;0,402079914829937;0,259417323658328;0,147580401556877;0,0580077742575542;0,0250271145755157;0,00944954910194997;0,00167188211144106;0,000571579151855625
20;0,368211781937424;0,229511142651473;0,125999982086037;0,0475671414271114;0,0201231917903583;0,0075144052022472;0,00132080110780609;0,000451085026365177
30;0,343959468120448;0,20765728378701;0,109982556374638;0,0397776903152713;0,0164272918595403;0,00603888160526672;0,00105104191954067;0,000358399574585311
40;0,326189141798764;0,195882568131868;0,103694542616127;0,037633132165981;0,0155735430480701;0,00573002557915027;0,000997611986485948;0,000340192767954879
50;0,303498116214378;0,178762907438626;0,0928679653465381;0,0330005146507173;0,0135129709361835;0,00494283125005117;0,000857828729980123;0,000292390091800432
60;0,302337067181381;0,177901810301919;0,0925700706410418;0,032962171145355;0,0135028898342086;0,00493931689179239;0,000857192191384796;0,000292171038374371
70;0,269818066667792;0,152194741658316;0,0761689562103481;0,0262014255057782;0,0105956426715028;0,00385281270022369;0,000666696381779038;0,000227149158187411
80;0,284332368769662;0,162238274985124;0,0818234868467594;0,0283295140134375;0,0114944068990933;0,00418797295606362;0,000725514875331452;0,000247230729188896
100;0,263498136967539;0,148686326674944;0,0746210995579692;0,0258328579582137;0,0105001800371322;0,00383156431499513;0,000664429605478926;0,000226449910452864
120;0,236411606759255;0,130573176958511;0,0643732203264811;0,0218980908008811;0,00882163203505329;0,00320227529621917;0,000553674401390024;0,00018862028343087
140;0,226800121038746;0,124635467915642;0,0612248233546009;0,0208104905479737;0,00839737715905367;0,00305307069705111;0,000528427243311523;0,000180048609852436
160;0,224227195656887;0,122218493501492;0,0593442326986717;0,0198419483301736;0,00793135074159233;0,00286783268502594;0,000494860240956454;0,000168536305596911
180;0,212638081094017;0,114033118471544;0,0548126032857625;0,0182228958385507;0,00727371338094596;0,0026286015578389;0,000453470025286456;0,000154434888617128
200;0,195903587114407;0,104519677048042;0,0504126358241041;0,016936394341791;0,00680352451350971;0,00246749566640373;0,000426492205549223;0,000145287423878776
300;0,185553196235244;0,096851739558769;0,04565701883154;0,0149738499814328;0,00595103527112389;0,0021465859042266;0,000369988615621745;0,000125988900114261
400;0,176168004905625;0,090939848259426;0,0424507775541074;0,0137936200739094;0,00546165881559111;0,00196659060696189;0,000338669287926191;0,000115309931514902
500;0,162123654508593;0,0835951262219442;0,0390956306185306;0,0127480313686192;0,00505673234045531;0,00182247664928354;0,000314000152626032;0,000106917802650466
600;0,154162698470376;0,0777627653221636;0,0358691896194126;0,0116073111776772;0,0045958874866209;0,00165530690328926;0,000285119926524194;9,70805329054404e-05
700;0,141381429387364;0,0708998335007688;0,0324942381693796;0,010431827646887;0,00411491447320467;0,00147923612971643;0,000254543705199899;8,66576208138601e-05
800;0,129284807512448;0,0637809151730088;0,0288961850049467;0,00921264207822452;0,0036274186765586;0,00130307516943943;0,000224160317495392;7,63106017506878e-05
900;0,128603581970941;0,0635500629559006;0,0288329178763791;0,00918951788841521;0,00361626065167487;0,00129862453867544;0,000223353813839955;7,60340367130756e-05
1000;0,13356469046712;0,066331063840701;0,0302437375893119;0,00968604701845701;0,00381889647354338;0,00137260792696331;0,000236180637166704;8,04054007682099e-05
1200;0,110732591884293;0,0535245149758243;0,023966593591795;0,00758485409263124;0,00297954700162723;0,00106925208279673;0,000183848095051521;6,25829741970963e-05
1500;0,106333137304075;0,0514335378045278;0,0229946882014363;0,00725452369132743;0,00284556054291501;0,00102042715177798;0,000175389562430608;5,97006000937797e-05
2000;0,100704425809467;0,0483569214808353;0,0214999649954671;0,00675595580766202;0,00264660147308279;0,000948552221326102;0,000162992984324036;5,54789371572774e-05
