"distance";"median mortality class 1";"median mortality class 2";"median mortality class 3";"median mortality class 4";"median mortality class 5";"median mortality class 6";"median mortality class 7";"median mortality class 8"
0,2;0,810650550591866;0,637218441809516;0,41791070596478;0,176992792435891;0,0767295701587513;0,0287651197609595;0,00505017850240693;0,00172408469372045
0,5;0,723890100555405;0,518220028319654;0,305391809394168;0,116371428718726;0,0484284244602938;0,0178139761890563;0,0030987246051489;0,0010565114605651
1;0,670285078230723;0,454760698694773;0,254241256124747;0,0926569652348146;0,0379646789116409;0,0138685704859972;0,00240444632596814;0,000819420878653586
2;0,625541153433697;0,406658572402002;0,218835739234866;0,0774174688951479;0,0314091303734667;0,0114244014687398;0,00197664139773306;0,000673437135756013
5;0,511713942584001;0,300679058517705;0,149473813312384;0,0500097311262999;0,0199375115377494;0,00719760547742452;0,00124093653246314;0,000422578817871683
10;0,427340603116753;0,234398084470977;0,111222933397144;0,0361307806339826;0,0142789094779911;0,00513585531995367;0,000883951707076396;0,000300943061183167
15;0,395737827384595;0,211787062514895;0,0989581468151712;0,031849835777127;0,012553357996488;0,00451015161630904;0,00077585548764549;0,0002641226486134
20;0,351746504656648;0,182082353392984;0,0834039752134519;0,0265330838850222;0,0104231223985063;0,00373963456138836;0,000642895845556123;0,000218840305190546
30;0,31796730612692;0,160560978183294;0,0725119829474284;0,0228826346353711;0,00896867855935212;0,00321477580505675;0,000552424238080533;0,000188032744828865
40;0,298095211647054;0,148385995548535;0,0664847468750025;0,0208877106567575;0,00817663175076495;0,00292936871103877;0,000503260793987474;0,000171293059644749
50;0,270213185928026;0,131876219003254;0,0584620024471061;0,0182595696111094;0,00713617330234403;0,00255489318815392;0,000438790034871439;0,000149343026491867
60;0,265380340827051;0,129079932108523;0,0571199519639776;0,0178229330976343;0,00696364094968528;0,00249284503056672;0,000428111517312494;0,000145707545758315
70;0,231257592482504;0,109861884154834;0,0480248824793179;0,014886244617998;0,00580566402976488;0,00207675755982511;0,000356531095895379;0,000121339452534026
80;0,247351435750033;0,118813156195045;0,0522334719724304;0,0162403194025211;0,00633907075360061;0,00226834537265509;0,000389484215790046;0,000132557383518668
100;0,216501169456252;0,101825652785327;0,0442868962727224;0,0136904908285831;0,0053353674165857;0,00190794699431121;0,000327504349249888;0,000111458545245073
120;0,198847828478776;0,0924196805131765;0,0399594551469999;0,0123142108299444;0,0047949285119147;0,00171408564306183;0,0002941801735927;0,00010011522926104
140;0,18302144011141;0,0841739379490924;0,0362075106992097;0,0111278944141769;0,00432982287020836;0,00154735553973756;0,000265528359505874;9,03627516606511e-05
160;0,17758765700054;0,0813825648172016;0,0349461092679269;0,0107304929950784;0,00417417077825923;0,00149158008139468;0,000255945370742042;8,71009853283193e-05
180;0,159260956943192;0,072113504654503;0,0307886651084072;0,00942577809293578;0,003663683350917;0,00130873356801738;0,00022453604596521;7,64104678512085e-05
200;0,147127282404229;0,0660973342347344;0,0281156041499441;0,00859099387187116;0,003337493518753;0,00119196183575438;0,000204482011953015;6,95850831636287e-05
300;0,138119254169595;0,061691588256057;0,026170600313532;0,00798558094587371;0,00310114011453695;0,00110738109180041;0,000189958790588891;6,464222179467e-05
400;0,129051456042843;0,0573078091932483;0,024245710464819;0,00738808194262911;0,00286804935412059;0,00102399317214379;0,000175642382837578;5,97698405442279e-05
500;0,113127880938904;0,049731149673251;0,0209430745142469;0,00636672894936698;0,00247000572936791;0,000881651486224978;0,000151209103197665;5,14545415268589e-05
600;0,112666050523381;0,0495136920112481;0,0208487381702116;0,00633762592086226;0,00245867102292207;0,000877599234436205;0,000150513609729446;5,12178504318325e-05
700;0,092488100207775;0,0401344591802254;0,0168034289590347;0,00509328164819445;0,00197441650155729;0,000704529255171128;0,000120813716618566;4,111055221385e-05
800;0,0862689033885101;0,0372910194155519;0,0155861000291203;0,00472022437285803;0,00182938034230451;0,000652715121344873;0,000111923743951332;3,80852444370565e-05
900;0,0845808142431136;0,0365230060800597;0,0152580168330565;0,00461979143238798;0,00179034567968171;0,000638771651031044;0,000109531533482536;3,72711677979005e-05
1000;0,0945309330171542;0,0410732812659014;0,0172062794825599;0,00521687962020588;0,00202248330048455;0,000721703250156733;0,000123760501396865;4,21133675249199e-05
1200;0,0739590388753188;0,0317272391827258;0,0132162159055924;0,00399580294688134;0,00154793202383412;0,000552195416858394;9,46793271688271e-05;3,22169735062938e-05
1500;0,0668821143479665;0,0285666857884042;0,0118770436605198;0,00358751949102584;0,00138941837182368;0,000495598059010483;8,49711673087754e-05;2,89133477406427e-05
2000;0,0610722398799732;0,0259924520467566;0,010790059649924;0,00325669001719137;0,00126103413699764;0,000449766892012914;7,7110402511198e-05;2,62384099074286e-05
