"distance";"SD mortality class 1";"SD mortality class 2";"SD mortality class 3";"SD mortality class 4";"SD mortality class 5";"SD mortality class 6";"SD mortality class 7";"SD mortality class 8"
0,2;0,275863220936824;0,301185897801567;0,301994063600039;0,2446542554591;0,168808455713972;0,0927776598257334;0,0226438424121754;0,0082700780281919
0,5;0,305389391461005;0,316822103541095;0,299219076079589;0,220475930950129;0,140611354279913;0,071052638933521;0,0157019529842173;0,00558792136575349
1;0,308520402563232;0,311264774778156;0,280966221475368;0,193516358911246;0,117087674163498;0,0558786209560981;0,0115271328644744;0,00404101005828514
2;0,310821075845894;0,301483456161067;0,254043925505872;0,153414476063944;0,0828102679404796;0,0358041544838366;0,00685574300348904;0,00237177191422984
5;0,301771835196945;0,278778542750419;0,221150495244244;0,12448022219753;0,0658133291982258;0,0286978760974246;0,00562849999540533;0,00195811416575963
10;0,305115352898738;0,267020840714879;0,198374156207705;0,102184324451089;0,0504678115358622;0,0206753562871952;0,00383999675437286;0,00132244869382118
15;0,303471811386057;0,265978203478659;0,200617681683212;0,107497898221367;0,0555178284004548;0,0240126445019368;0,00471071233306209;0,00163940685912516
20;0,293821204009153;0,248715683487612;0,178601332381937;0,0899437109993181;0,0451626169358248;0,0191336846447415;0,00366396860878653;0,00126853351339039
30;0,285851341549518;0,230858562957404;0,156289975816247;0,0717429698924353;0,0332504364998576;0,013089914180693;0,00237044105746236;0,000813011770375043
40;0,286862494678937;0,229326100862668;0,15575532946635;0,0723335779424215;0,0335746905310035;0,0131502893652189;0,00236875644228993;0,00081169356609651
50;0,280317006877188;0,218224662754893;0,143283224791841;0,0631090534127674;0,0282406605464403;0,0107846132789752;0,00191240353999708;0,000653858905624269
60;0,277856493693545;0,218597449263349;0,144890731355303;0,0637339804160307;0,02835237024793;0,0107826798826489;0,00190698213427478;0,000651713269824077
70;0,258527863990725;0,192329095142742;0,120755689273456;0,0508689885865681;0,0223293453509656;0,00844515940410628;0,00149056659890408;0,000509284978680618
80;0,264617955758083;0,198200981461156;0,124735779587085;0,0532839612346773;0,0238550422780646;0,00917742908203568;0,00163706960677657;0,000560218260593441
100;0,259646611192066;0,193696302025825;0,122287114670115;0,0533792647985839;0,0245123899380268;0,00961277646681807;0,00173621165950977;0,00059538036770786
120;0,251527994745328;0,181009070392289;0,110802499027229;0,0457280391938237;0,0199250044279774;0,00751333110145951;0,00132447278447041;0,000452438977165956
140;0,248758105932206;0,177157670471988;0,107227712345454;0,0447941459875876;0,0200877384485192;0,00777253171981086;0,00139557131597201;0,000477980345623583
160;0,247559463195918;0,172613241234829;0,101049698816062;0,0391084746952034;0,0164578049097322;0,00609096794300561;0,00106283818253793;0,000362533392640457
180;0,234611472812445;0,161888725402246;0,0943422106439663;0,0365934061929347;0,0154294567001064;0,00571715236877017;0,000998296874440579;0,000340558886196887
200;0,229425929033267;0,159439958626302;0,0959067076635174;0,0397244629165188;0,0175118725633479;0,00666418924120275;0,00118091542450711;0,000403680660130304
300;0,218881306174599;0,145257725702411;0,0825701349280444;0,031632604989907;0,0133185631573282;0,00493346242201846;0,000861321168630934;0,000293823360028808
400;0,212807450901044;0,138214732261599;0,0761433922913525;0,027965805210033;0,0115258387084465;0,00422453761669718;0,000733748997891056;0,000250119313528334
500;0,211213962730205;0,137942909777783;0,076834038597243;0,0288709369898309;0,0120846066252508;0,00446392982855453;0,000778143848143295;0,000265415432489099
600;0,193857614723431;0,124181378697286;0,0693380920996231;0,0266132022933409;0,0112794872722757;0,00420039363449776;0,000735487671689678;0,000250998487875175
700;0,191966634224695;0,120065129433986;0,0645466070641514;0,0232658761579679;0,00953093845187986;0,003482871144984;0,000603988515076288;0,000205846524436783
800;0,181449114672555;0,109813428128711;0,0582137273199244;0,0211065645341326;0,00871069534487151;0,00319580165107657;0,000555512115622329;0,000189389750053203
900;0,179379471303046;0,110300583094392;0,0582436898766187;0,0206377113186609;0,0083991907366974;0,00306049383184682;0,000530010953472166;0,000180597249505271
1000;0,182749280423357;0,113709749746726;0,06122611930359;0,0222577067615551;0,0091660895028923;0,00335941537525024;0,000583281930708229;0,000198820131397518
1200;0,162481375875762;0,0963921877446443;0,0505023203998222;0,0181245004917412;0,00744061405951252;0,00272431091308712;0,000473048489190153;0,000161257456111804
1500;0,162114057358159;0,0955670495003629;0,0486902467759744;0,0167597000802803;0,00675497600551168;0,00245005200886705;0,000423373828743846;0,00014421830131062
2000;0,157983976412008;0,091350553233025;0,045829076696918;0,0155786522481581;0,00624948062922137;0,0022629564399251;0,000390737156487411;0,000133086450392786
