"distance";"SDERR mortality class 1";"SDERR mortality class 2";"SDERR mortality class 3";"SDERR mortality class 4";"SDERR mortality class 5";"SDERR mortality class 6";"SDERR mortality class 7";"SDERR mortality class 8"
0,2;0,00872356100830611;0,00952433436175651;0,00954989080825873;0,0077366468650344;0,00533819208351817;0,00293388721029618;0,000716061170003954;0,000261522829964006
0,5;0,00965726050269552;0,0100187946027556;0,00946213799782708;0,00697206111048418;0,00444652144405391;0,00224688172795484;0,000496539351430047;0,000176705589016999
1;0,00975627176731863;0,00984305643678306;0,00888493205433478;0,0061195245866216;0,00370263736288303;0,00176703714730486;0,0003645199474312;0,000127787958318308
2;0,00982902544456974;0,00953374398328494;0,00803357430328699;0,00485139170403446;0,00261869060340736;0,00113222677865454;0,00021679762943789;7,50020133938382e-05
5;0,00954286332911314;0,00881575157873946;0,00699339270646045;0,00393641025788046;0,00208120020664857;0,00090750652477166;0,000177988797957281;6,19210068244091e-05
10;0,00964859464246071;0,00844394039392041;0,00627314162530378;0,00323135206431078;0,00159593232977445;0,000653812173030193;0,000121431359514724;4,18194996118958e-05
15;0,00959662129636959;0,00841096930952284;0,00634408813021594;0,00339938202060483;0,0017556278849182;0,000759346492700397;0,000148965803743219;5,1842596865383e-05
20;0,00929144229521921;0,00786508049626385;0,00564787003467708;0,00284426987965785;0,00142816734610901;0,000605060235087728;0,000115864860791238;4,01145519056934e-05
30;0,00903941311511202;0,00730038876298773;0,00494232299031975;0,00226871190964981;0,00105147112534347;0,000413939431871269;7,49599280075914e-05;2,57096895891094e-05
40;0,00907138858463374;0,00725192805651536;0,00492541598823604;0,00228738857607368;0,00106172493813259;0,000415848662843817;7,49066557983336e-05;2,5668004309694e-05
50;0,00886440208612998;0,00690086975927575;0,00453101340836123;0,00199568349761567;0,000893048099544066;0,000341039416456584;6,04755099175969e-05;2,06768341015777e-05
60;0,00878659382739815;0,00691265830375278;0,00458184722930333;0,00201544542463223;0,000896580670478518;0,000340978277096476;6,03040700155734e-05;2,06089831399997e-05
70;0,0081753688882892;0,00608198000970293;0,00381863018527684;0,00160861866202665;0,000706115899695433;0,000267059389201662;4,71358545670753e-05;1,61050051074105e-05
80;0,00836795449973211;0,00626766535898061;0,00394449169211924;0,00168498680257698;0,00075436267278296;0,00029021578963901;5,17686864565019e-05;1,77156569029303e-05
100;0,00821074678111096;0,00612521488753493;0,00386705810847752;0,00168800056588774;0,000775149830983585;0,000303982682732111;5,4903833441916e-05;1,8827580361054e-05
120;0,00795401358690101;0,00572400939589383;0,00350388267364634;0,00144604756785933;0,000630083963813489;0,000237592390955937;4,18835069783178e-05;1,43073767008133e-05
140;0,00786642201175215;0,00560221743661038;0,00339083799300991;0,00141651527162869;0,000635230065390577;0,00024578903420508;4,41318399567007e-05;1,51150656896502e-05
160;0,00782851760027728;0,00545850996606155;0,00319547205132777;0,00123671855851902;0,000520441488014557;0,000192613318549684;3,36098944101366e-05;1,14643124861197e-05
180;0,00741906619293997;0,00511937099772655;0,00298336265130314;0,00115718510913384;0,000487922262312819;0,000180792232155406;3,15689190425936e-05;1,07694175779224e-05
200;0,00725508490045276;0,00504193419302127;0,00303283639104641;0,00125619781643095;0,000553774033947906;0,000210740167605899;3,7343824654671e-05;1,27655033337208e-05
300;0,00692163464744409;0,00459345260955602;0,00261109693080044;0,00100031080092514;0,000421169947379607;0,000156009780044292;2,72373668979172e-05;9,29151047454709e-06
400;0,00672956247901752;0,00437073360137009;0,00240786548412381;0,00088435641064308;0,000364479022624243;0,000133591609298225;2,32031806420182e-05;7,909467175473e-06
500;0,00667917195857364;0,00436213781968906;0,00242970563796577;0,000912979190710713;0,000382148815629533;0,000141161855733973;2,460706907381e-05;8,39317292824205e-06
600;0,00613031604293434;0,00392695999663338;0,00219266299645336;0,000841583350777737;0,000356688706192711;0,000132828109542857;2,32581623351352e-05;7,93726910943711e-06
700;0,00607051798906469;0,0037967927657432;0,00204114293558632;0,000735731604185859;0,000301394737468195;0,00011013805615028;1,90997938822402e-05;6,50943865649743e-06
800;0,0057379248178635;0,00347260550557929;0,00184087969418931;0,000667448175091898;0,000275456372936199;0,000101060121675287;1,75668355318536e-05;5,98902975658117e-06
900;0,00567247694794436;0,00348801069822943;0,00184182719342607;0,000652621734600055;0,000265605732301514;9,67813127353232e-05;1,67604179780957e-05;5,71098647598374e-06
1000;0,00577903966894627;0,0035958180136741;0,00193613989292546;0,000703850488586443;0,000289857200661002;0,0001062340419238;1,84449941905851e-05;6,28724459910113e-06
1200;0,00513811225125345;0,00304818861919645;0,00159702359587024;0,000573147030067441;0,000235292876183312;8,6150275398083e-05;1,49591066954243e-05;5,0994085099794e-06
1500;0,00512649661982961;0,00302209545683203;0,00153972079647749;0,000529988251549925;0,00021361109717203;7,74774473389094e-05;1,33882560053662e-05;4,56058312422004e-06
2000;0,00499589199272262;0,00288875813732817;0,00144924265424807;0,000492640239798823;0,000197625929814418;7,15609659590931e-05;1,23561938095786e-05;4,20856308948213e-06
