"distance";"median mortality class 1";"median mortality class 2";"median mortality class 3";"median mortality class 4";"median mortality class 5";"median mortality class 6";"median mortality class 7";"median mortality class 8"
0,2;0,999990959621355;0,999941538654011;0,999619081066556;0,995258894137872;0,966255989583997;0,767248601463081;0,0756611856198048;0,00847931917608337
0,5;0,999976008833132;0,999844869188487;0,998989746692514;0,987515857738215;0,915183091853491;0,55400133121617;0,0299207193077288;0,00321205563382714
1;0,999951978466716;0,999689525686729;0,997979838303989;0,975319333123039;0,843517443934935;0,38292160626092;0,0151740328399807;0,00160715463362468
2;0,999914416449123;0,999446789004961;0,996405231275059;0,956845846542115;0,751523678985919;0,258257168254447;0,00857101757204488;0,000902388102068154
5;0,999802999321388;0,998727364944172;0,991763008659535;0,905939976567864;0,567813983437455;0,131374875829754;0,00374131753403139;0,000392190232727675
10;0,999605391463386;0,997453555447344;0,983632652185526;0,827805458830514;0,396048829226438;0,0701909759859139;0,00187087862197789;0,000195789095469072
15;0,999436937597401;0,996369843574968;0,976803854995823;0,771092877244445;0,314835489438412;0,0502395242516927;0,00131169576752291;0,000137201299568192
20;0,999293036375542;0,995445660389773;0,971043224520177;0,72844690817359;0,267890877471924;0,0404207202954085;0,00104481796452523;0,000109260158959869
30;0,998965072091967;0,993344765394168;0,958158799297701;0,646875301946376;0,199925359358844;0,0279617273650697;0,00071374375770338;7,46164639926882e-05
40;0,998583875210233;0,990912262873801;0,943595988978844;0,572327996444001;0,154368164892244;0,0205819483297814;0,000521510902688332;5,45105951431107e-05
50;0,997996260754135;0,987182207202068;0,921974168206006;0,485920730723901;0,114210129956544;0,0146256748507241;0,000368405432237032;3,85020614528738e-05
60;0,998165015718361;0,98825099999959;0,928084133976904;0,507953416667179;0,123435531615526;0,0159519370374626;0,000402340480769274;4,20498925858346e-05
70;0,997138205122249;0,981777844398955;0,892082082656571;0,398048479621197;0,0827391363274209;0,0102771716076143;0,000257762418824228;2,69360876208214e-05
80;0,997464104137147;0,983824583958626;0,90321003261994;0,427416735383935;0,0924141918070865;0,0115859198787681;0,000290962202832212;3,04063580247068e-05
100;0,996564072460014;0,978189530435634;0,873113825932085;0,355028500126516;0,0698430854448731;0,00856981276382262;0,000214579160574866;2,24225840917165e-05
120;0,995495553915257;0,9715698133305;0,839823928302094;0,295485120562392;0,0541155114569333;0,00654294699296006;0,000163502596084598;1,70845246515342e-05
140;0,994622584249091;0,966217365380472;0,814406672513237;0,259821497311816;0,0456947155025734;0,00548191520304241;0,00013684584014116;1,42987963073124e-05
160;0,993641293703168;0,96025978445639;0,787565438889453;0,228738531959114;0,0388829660236304;0,00463561270678865;0,000115623566605393;1,20810863710956e-05
180;0,993490684841596;0,959350752253884;0,783593839937059;0,224597084064171;0,03800896241585;0,00452777448261992;0,00011292184354457;1,17987644898718e-05
200;0,992043598923222;0,950690718325917;0,747351175321103;0,19134847999819;0,0312683949829045;0,00370196305320701;9,22516424585795e-05;9,63883708897915e-06
300;0,989812103402423;0,937590789611827;0,697423374505545;0,15567707998727;0,0245338902480229;0,00288694993100422;7,18844560391311e-05;7,51065134118904e-06
400;0,986796036937602;0,920358847023142;0,639383969688587;0,124214020440271;0,0189796820685027;0,00222221158484714;5,52966628301929e-05;5,7774351800564e-06
500;0,983450162836832;0,901852247225906;0,585024396232897;0,101344302694344;0,0151500510255929;0,00176773122507383;4,39680181047388e-05;4,59376360776401e-06
600;0,981181653122892;0,889654281292676;0,552971442385128;0,0900430286830174;0,013318201052439;0,00155143979474306;3,85801450977013e-05;4,03082102036882e-06
700;0,97721394905944;0,868965627244385;0,504325852943641;0,0752642230477364;0,0109802969006247;0,00127642432087656;3,17327235081064e-05;3,31538785376485e-06
800;0,972761817263472;0,846682565714774;0,458670244766758;0,0634781991561401;0,00916114168623901;0,00106322564995725;2,64269692024467e-05;2,76103740411695e-06
900;0,970561048797786;0,836011158343445;0,438883731762045;0,0588839126951703;0,00846254309446609;0,000981535304117597;2,43945705613949e-05;2,54869177634914e-06
1000;0,971708752966778;0,84154799079272;0,448991385411457;0,0611944221091791;0,00881312624834018;0,00102251758394465;2,5414139544553e-05;2,65521655473339e-06
1200;0,956183174895701;0,771398442011707;0,34112100296996;0,0397683890951544;0,00561764038658093;0,00064991842220237;1,61475094831235e-05;1,68704427816893e-06
1500;0,952345858672654;0,755515291647669;0,321630187341516;0,0365409232745679;0,0051468719432629;0,000595204820211901;1,47873362245711e-05;1,54493549587791e-06
2000;0,937695332075906;0,69944886996763;0,263109667266169;0,0277688465539581;0,00388094535992889;0,000448303503908508;1,11361069208174e-05;1,16346246194604e-06
