"distance";"SD mortality class 1";"SD mortality class 2";"SD mortality class 3";"SD mortality class 4";"SD mortality class 5";"SD mortality class 6";"SD mortality class 7";"SD mortality class 8"
0,2;0,234923770516371;0,239910516940495;0,248636967202185;0,286870861704837;0,330287724586621;0,346860076467651;0,0948017638851299;0,0129339259621938
0,5;0,270258576847313;0,278250994880362;0,292424727651351;0,332809896658265;0,364400047903781;0,326427954744995;0,0459095770322231;0,00541785462830705
1;0,264095553708267;0,27463628185473;0,292295223437407;0,330929840349486;0,352751832220733;0,274562085993188;0,0241342126999541;0,0026878947010986
2;0,249944088101283;0,267092330673351;0,297877423611079;0,345775189621807;0,353383901796771;0,226569149146479;0,0136223183728796;0,0014737975178665
5;0,26360628197617;0,278799971701188;0,306561360401868;0,347050877176607;0,314028436950641;0,140709243409328;0,00563060492812472;0,000596833536752978
10;0,272344297770179;0,296978667219761;0,329092012459765;0,358046239932816;0,275812802251267;0,0885288964034917;0,00289522459086307;0,000304731452634371
15;0,261912208733838;0,288512747886626;0,321998566685076;0,344810940888664;0,241467004782207;0,0649924966674349;0,00196081207491115;0,000205880392858355
20;0,239586945636229;0,273636384638576;0,321401775773453;0,340150501061576;0,216745297201358;0,0519612442432872;0,00150699506357657;0,000158057107569988
30;0,252193213841639;0,290994188749744;0,328629282452145;0,325692015329823;0,183531725309345;0,0378599794742928;0,00104915074987377;0,000109903733620126
40;0,282621221743629;0,320223010434167;0,35330836696853;0,319878118304773;0,157970582264493;0,0292283867555666;0,000788241799731445;8,25149217413913e-05
50;0,275535412822162;0,31299678232615;0,34910488154321;0,301670641437087;0,132199013098069;0,0226037747297601;0,000599481238641319;6,27291645657016e-05
60;0,282715040256416;0,313484123647078;0,345513063498976;0,29579599827171;0,122855698037538;0,0201316844563683;0,000529024171034375;5,53440136217121e-05
70;0,262587512065513;0,305206861963026;0,342597245603774;0,2800528276502;0,109361056621288;0,0173252056676713;0,000452301268881401;4,7310106702369e-05
80;0,278024152861876;0,309103814434747;0,339759855993299;0,270427653880523;0,100008150983167;0,0153389088625525;0,000398003073357626;4,16244493704365e-05
100;0,277070272581732;0,31045204964116;0,336630524117877;0,251732554501885;0,0848548606349406;0,0124107800974023;0,000319293703544566;3,3385965710145e-05
120;0,295641100909844;0,330529132131394;0,355263052326695;0,244551196332735;0,0751634285727602;0,0105999467653981;0,000271065942906206;2,83391372214248e-05
140;0,303488673643835;0,338410648555614;0,351876987049204;0,22580408895564;0,0646119506975801;0,00885654122624091;0,000225436753444292;2,35661706236228e-05
160;0,309851781890999;0,351906773497852;0,361667657136601;0,216869763407297;0,0585178489607396;0,00786375219429695;0,000199550660452059;2,08586486268376e-05
180;0,289455772730178;0,332200241031746;0,347472693146427;0,204775067661682;0,0539727216240465;0,00719131979007386;0,000182242255469862;1,90488350213706e-05
200;0,30652876901657;0,343505372373673;0,349352607835444;0,194579011435271;0,0485481376243586;0,00635444795768886;0,0001605994570003;1,67855671384236e-05
300;0,304372819807517;0,335010970177423;0,328667561053934;0,155380611998843;0,0339962892701734;0,00428800911093549;0,000107788912150908;1,12644906736283e-05
400;0,310658731252308;0,345501162211663;0,327034851386762;0,132955158020068;0,0266971630533509;0,00329808184408961;8,26624951780704e-05;8,63806804978144e-06
500;0,322015183965933;0,349023889630425;0,319555776518584;0,117384219696289;0,0223289304987758;0,00272461398558051;6,81726595844927e-05;7,12362836526292e-06
600;0,302355066359095;0,340599144299017;0,309704906679025;0,103294528895167;0,0187091157804361;0,00225934212114326;5,64512291415992e-05;5,89861844209263e-06
700;0,333296025853643;0,357820575198438;0,307991553411905;0,0950468874381387;0,0167479811662359;0,00201159233906159;5,02244640455789e-05;5,24789281316733e-06
800;0,340761229820475;0,357229481863816;0,295611667637089;0,0838087890306716;0,0143390999383508;0,00171290463175904;4,2736078011777e-05;4,46536654638777e-06
900;0,333555115191962;0,346771194497247;0,28223478555954;0,0757455486394572;0,0126841849231031;0,00150893496523283;3,76262383712051e-05;3,93140439844786e-06
1000;0,328396340675939;0,345448313010002;0,279576728986375;0,0719786816311852;0,0119084839860786;0,00141361802187443;3,52394806046352e-05;3,68199845182873e-06
1200;0,344907511455677;0,354560148414563;0,267840869661309;0,0618463592772182;0,00992915501107457;0,00117245621846542;2,92073969205159e-05;3,0516874993794e-06
1500;0,344726219147591;0,350585197371323;0,249897459232696;0,0512826575015377;0,00799748838684684;0,000939735715306222;2,33950193904516e-05;2,44435478953895e-06
2000;0,355086584480877;0,345940103416923;0,223741927110971;0,0401322430672352;0,00607455012483406;0,000710278232912983;1,76712838713734e-05;1,84630130717668e-06
