"distance";"SDERR mortality class 1";"SDERR mortality class 2";"SDERR mortality class 3";"SDERR mortality class 4";"SDERR mortality class 5";"SDERR mortality class 6";"SDERR mortality class 7";"SDERR mortality class 8"
0,2;0,00742894191346443;0,00758663668160375;0,00786259126875489;0,00907165317322457;0,0104446149288812;0,0109686787101795;0,00299789500078504;0,000409006651285173
0,5;0,00854632660033159;0,00879906905029796;0,00924728183532689;0,0105243730128538;0,0115233413085041;0,0103225582894455;0,00145178829836778;0,000171327606571352
1;0,00835143469641451;0,00868476178780919;0,00924318655250038;0,0104649204122027;0,0111549923861509;0,00868241550865489;0,000763190816668167;8,49986936616908e-05
2;0,00790392606093844;0,00844620110490643;0,00941971122153827;0,0109343715758152;0,0111749801811507;0,0071647455882927;0,000430775530702583;4,66055696636084e-05
5;0,00833596256573287;0,00881642922166244;0,00969432141469654;0,0109747123583742;0,00993045110826607;0,00444961697012511;0,000178055361774428;1,88735336011323e-05
10;0,00861228288712881;0,00939129004895628;0,0104068031914137;0,0113224162584683;0,0087219666294762;0,00279952951376123;9,15550404485642e-05;9,63645465016332e-06
15;0,00828239126604373;0,00912357417315668;0,0101824887403445;0,0109038793535386;0,00763585714890546;0,00205524320289997;6,20063222027992e-05;6,51050967002664e-06
20;0,00757640445853423;0,00865314226151812;0,0101636165546684;0,010756503306021;0,00685408811286411;0,001643158818651;4,76553682353223e-05;4,99820460299404e-06
30;0,00797504966177482;0,00920204422322135;0,0103921703837558;0,0102992858417272;0,005803782748779;0,0011972376730599;3,31770597847473e-05;3,47546121596022e-06
40;0,00893726775809372;0,0101263407216783;0,0111725915601515;0,0101154342749188;0,00499546843258798;0,000924282744798896;2,49263943410167e-05;2,60935093653344e-06
50;0,00871319480552795;0,00989782732454569;0,0110396656795982;0,00953966330145167;0,00418049985816329;0,000714794118633989;1,89572612864551e-05;1,98367035747144e-06
60;0,00894023455996469;0,00991323841026616;0,0109260824199915;0,00935389077301834;0,00388503829328497;0,000636619760179325;1,6729213177511e-05;1,75013137899995e-06
70;0,00830374623243967;0,0096514884131577;0,0108338761620803;0,00885604800545211;0,00345830026245907;0,000547871108406996;1,43030219824947e-05;1,49607693525084e-06
80;0,00879189567582349;0,00977472087059832;0,0107441500242964;0,00855167328558124;0,00316253541688815;0,000485058888274086;1,25859622755718e-05;1,31628066360941e-06
100;0,00876173133281975;0,00981735581133724;0,0106451918614873;0,0079604823343843;0,00268334630142574;0,000392463326472777;1,00969534575141e-05;1,05575693528339e-06
120;0,00934899248834786;0,0104522489057395;0,0112344041385594;0,00773338784930459;0,00237687631037301;0,000335199748551924;8,57185775684773e-06;8,9616220543758e-07
140;0,0095971545277803;0,0107014843389051;0,0111273273527306;0,00714055226079095;0,00204320928270858;0,000280068424661019;7,1289360919777e-06;7,45227748987987e-07
160;0,00979837367837273;0,0111282692829419;0,0114369355256851;0,00685802407988898;0,00185049686489654;0,000248673678891253;6,31034595619392e-06;6,59608385739504e-07
180;0,00915339523711417;0,0105050940091724;0,0109880513505549;0,00647555621826006;0,00170676731850209;0,000227409499192773;5,76300613211043e-06;6,02377054403133e-07
200;0,00969329078460013;0,0108625936520509;0,0110474994727959;0,00615312860999406;0,00153522691052289;0,000200945288193021;5,07860075107219e-06;5,30806239750933e-07
300;0,00962511368439766;0,010593977069034;0,0103933808594288;0,00491356638147232;0,00107505706087691;0,000135598754181098;3,40858468908668e-06;3,56214472103897e-07
400;0,00982389165775427;0,0109257060682415;0,0103417500463684;0,00420441126011018;0,000844238423134843;0,000104294505369715;2,61401761835388e-06;2,73159696208381e-07
500;0,0101830142249048;0,0110371044904337;0,0101052409326248;0,00371201495601873;0,000706102780917312;8,61598593918358e-05;2,15580878438305e-06;2,25268908388127e-07
600;0,00956130671786094;0,0107706906508925;0,00979372907635614;0,00326645981142805;0,000591634188739767;7,14466711636877e-05;1,78514460803525e-06;1,86530693252867e-07
700;0,0105397457677988;0,0113152801129862;0,00973954808875024;0,00300564648814165;0,000529617666949085;6,36121351518031e-05;1,58823700645264e-06;1,65952942060372e-07
800;0,0107758162451279;0,0112965881005147;0,00934806172653885;0,00265026661277458;0,000453442154019686;5,41668005101056e-05;1,35143344779855e-06;1,41207288741053e-07
900;0,0105479388920643;0,0109658680154855;0,00892504757297345;0,00239528456319753;0,000401109146197735;4,77167133120272e-05;1,18984613037432e-06;1,24321923022994e-07
1000;0,0103848041180057;0,0109240348297438;0,00884099244376563;0,00227616576930669;0,000376579328756491;4,47025269058494e-05;1,11437022271975e-06;1,16435014489925e-07
1200;0,0109069331830056;0,0112121763651736;0,00846987198610027;0,00195575360305095;0,0003139874507587;3,7076321071787e-05;9,2361898793418e-07;9,65028320510259e-08
1500;0,0109012002168474;0,0110864773763306;0,00790245152664393;0,00162170002171179;0,000252902788631818;2,97170525897522e-05;7,39815471776311e-07;7,72972854448461e-08
2000;0,0112288237352937;0,0109395866079167;0,00707534097746046;0,00126909295703965;0,000192094141553358;2,2460969884446e-05;5,5881506212938e-07;5,83851737762448e-08
