"distance";"mean mortality class 1";"mean mortality class 2";"mean mortality class 3";"mean mortality class 4";"mean mortality class 5";"mean mortality class 6";"mean mortality class 7";"mean mortality class 8"
0,2;0,964842519768966;0,958394595826454;0,946214058488349;0,90837093951427;0,842828152505662;0,688270993749837;0,138270172035186;0,0180293826539685
0,5;0,938374691491619;0,929309356954792;0,911966970843142;0,858283388075574;0,766505047841961;0,555526704623802;0,0624959068814825;0,00722001084801274
1;0,943360395611611;0,93192269027158;0,910089366405729;0,848819995805299;0,735134492337885;0,45948767953328;0,0332302893128669;0,00365543311039136
2;0,94389479916974;0,931094443321075;0,901593838673155;0,81528923224579;0,669692986830595;0,353962162635864;0,0186542983783334;0,00200514040964994
5;0,941937342299196;0,925968737112123;0,89064745868059;0,782856116069422;0,57542439832683;0,214215736152798;0,00788787533179251;0,000833800255939851
10;0,933944764296744;0,909088864590331;0,85887776904978;0,710279265618441;0,452436492901114;0,12597316487256;0,0039212464864591;0,000412138243179228
15;0,938507219887613;0,911010196266938;0,859408979442574;0,693145543074276;0,399638299529836;0,0947785550696818;0,00276174193816238;0,000289713472270991
20;0,947747702793657;0,917553782456649;0,852582346261836;0,662295138810663;0,350871450874877;0,0748474699403511;0,00210741340457257;0,000220863660676416
30;0,937677849517989;0,901472078283653;0,835510495334373;0,621718748750199;0,290712599679267;0,0545487136585395;0,00148067554687234;0,000155028243689901
40;0,919236117542558;0,877020776084109;0,802062952590861;0,574184459366213;0,243162523033754;0,041845573164278;0,00111268980398247;0,00011643975470134
50;0,922343807054023;0,878582377511648;0,791343193000593;0,523718744992648;0,195660936498335;0,0311385805617579;0,000814887287206504;8,52419603224157e-05
60;0,919254948223782;0,87734130883339;0,793433410519354;0,521294766426834;0,18784165330823;0,0290588862954311;0,000755826443188089;7,90518609927979e-05
70;0,929317732305902;0,878880934716746;0,7782015252191;0,472812737434864;0,156230671839864;0,0232608066511306;0,000601042889423614;6,28529544012026e-05
80;0,921244840352687;0,878389096922571;0,788126248483757;0,480911104238119;0,15348850658509;0,0223241033260003;0,000574223516914089;6,00417344287925e-05
100;0,918520889863578;0,872655265304387;0,773646518477303;0,437606269661157;0,127507681851126;0,0178169197501098;0,000455107810024702;4,75791002084058e-05
120;0,899127362351145;0,842280902396811;0,725066825078312;0,387832463576109;0,106451743190131;0,0145011615826408;0,000368884685228118;3,85610205065669e-05
140;0,893889767519386;0,835610805322953;0,716419988971401;0,359248415624899;0,0917896577288217;0,0121972323491726;0,000309063408805408;3,23047181090149e-05
160;0,888274856867485;0,813473060664394;0,684272322888163;0,330008684307574;0,0809247887804525;0,010596872761647;0,000267876083728054;2,79980683121371e-05
180;0,903838538066719;0,835183227334278;0,700234762567473;0,322431995397389;0,0761515502207983;0,00986466092953368;0,000248999399934313;2,60242166187245e-05
200;0,887811345892029;0,818183336591012;0,677119295885861;0,296793287143699;0,0672819565936257;0,00860465912236636;0,000216747261483524;2,26522870347145e-05
300;0,889296231635179;0,817922187443788;0,658187974542449;0,242996856566463;0,0487000294518615;0,00602748927761738;0,000151116369425155;1,57914843283709e-05
400;0,881146151644773;0,792929557690272;0,615346240213419;0,202404010639671;0,0379253515873674;0,00461866332763129;0,000115535427631279;1,20726840940554e-05
500;0,864909388633394;0,775323686668013;0,581482332663525;0,173046482994251;0,0309856907267556;0,00373696817825181;9,33584921529219e-05;9,75504821186018e-06
600;0,875794557905675;0,772095641021711;0,559155229266887;0,152799793113973;0,0263423557186609;0,00315275676270052;7,86802308312665e-05;8,22111646018014e-06
700;0,847535952358427;0,740500573630431;0,5274374262007;0,136473544130881;0,0230387359086994;0,0027466270438312;6,8509173859545e-05;7,15827761690724e-06
800;0,839004701850285;0,731120188609604;0,505668818270327;0,12051695531711;0,0197900146305914;0,00234717324060638;5,85054879605299e-05;6,11293348200881e-06
900;0,845191960337798;0,73525651457117;0,494783913646422;0,110323816161093;0,0177720596546568;0,00210047014975971;5,23312919858098e-05;5,4677644004989e-06
1000;0,84730452950895;0,73372544084357;0,489149593506536;0,106128538256336;0,0169275595803;0,00199709196060605;4,97450100272304e-05;5,19751391154699e-06
1200;0,818236270710934;0,686481293770903;0,430722981657315;0,0850828364351603;0,0132627580636853;0,00155852534650513;3,88002287412053e-05;4,05391999166682e-06
1500;0,812587533793773;0,672023557113647;0,402085308227849;0,0718373712901545;0,0109259517420389;0,00127874807758674;3,18183182103801e-05;3,32439716191435e-06
2000;0,792592448405552;0,640290441645818;0,353450033644016;0,0559080217680094;0,0082974748486458;0,000967268136635323;2,40556579623604e-05;2,51332038278473e-06
