"distance";"mean mortality class 1";"mean mortality class 2";"mean mortality class 3";"mean mortality class 4";"mean mortality class 5";"mean mortality class 6";"mean mortality class 7";"mean mortality class 8";"median mortality class 1";"median mortality class 2";"median mortality class 3";"median mortality class 4";"median mortality class 5";"median mortality class 6";"median mortality class 7";"median mortality class 8";"SD mortality class 1";"SD mortality class 2";"SD mortality class 3";"SD mortality class 4";"SD mortality class 5";"SD mortality class 6";"SD mortality class 7";"SD mortality class 8";"SDERR mortality class 1";"SDERR mortality class 2";"SDERR mortality class 3";"SDERR mortality class 4";"SDERR mortality class 5";"SDERR mortality class 6";"SDERR mortality class 7";"SDERR mortality class 8"
0,2;0,929480999695544;0,914833401252688;0,886841765693129;0,811922211390353;0,706860034631564;0,538058776376228;0,211754314558584;0,089407240395326;0,996100350886737;0,990547979598896;0,977187315504564;0,927698505479744;0,832169910042184;0,638605916006199;0,232448442914134;0,0934178606883188;0,232435508869309;0,235649453226829;0,242050714025341;0,257791365808958;0,266439241271561;0,247946627546983;0,127300117057672;0,0581946756581512;0,00735025617127284;0,00745189001570095;0,0076543156559014;0,00815207877081963;0,00842554860465271;0,00784076081205915;0,00402558316308297;0,00184027722774516
0,5;0,902195704009075;0,880791282132504;0,842267966723342;0,746302410049981;0,621352274774111;0,438920540153451;0,14774958710711;0,0586605222614128;0,993800951677168;0,985023888677776;0,964137490338989;0,889539115566107;0,756809182274734;0,525851565154565;0,159713742334744;0,060743837182242;0,266230426071745;0,270431086850803;0,277364178310717;0,287633310343138;0,281371158245054;0,237053518151049;0,0983748540627848;0,0412546823056509;0,0084189452882379;0,00855178184563348;0,00877102544802938;0,00909576391618385;0,00889773727934035;0,00749629044713381;0,00311088603325069;0,00130458760232504
1;0,903533524782733;0,878408354063438;0,833791898275729;0,722583808835531;0,579955611236494;0,384296057552613;0,115032649807815;0,0439479090182387;0,991387674400679;0,979265006639642;0,9507485649039;0,852558528563244;0,690836158949512;0,443310208033404;0,120087472681312;0,0443759587388748;0,257746960106225;0,264085247364093;0,271764114960817;0,277660735577188;0,262322950265775;0,206762999604749;0,0748191034902243;0,0298901649161017;0,00815067453920226;0,00835110878119512;0,00859393589576023;0,00878040341221662;0,00829538005374922;0,00653842014599502;0,00236598779520962;0,00094521000772937
2;0,902532748856885;0,869381652567051;0,812742019462277;0,68106330244202;0,524627618510343;0,327854424373091;0,089817446791031;0,0334647412385004;0,988683409199946;0,972858443036764;0,936106055029287;0,81442203708418;0,629068882549246;0,376707861676175;0,0938583333792812;0,0340436947960485;0,245873876714295;0,255358560130406;0,268374838093718;0,276721997695665;0,254297595267508;0,187683592762622;0,0602442461561652;0,0232107580500161;0,0077752146755261;0,00807514670033147;0,00848675755055069;0,00875071791390168;0,00804159604548981;0,0059350763257338;0,00190509033773326;0,000733988616571394
5;0,890317117672413;0,851484170638904;0,784013167869018;0,628048415032762;0,453313572013467;0,258192466331266;0,0626632867705187;0,0226687720490075;0,983244715850864;0,960121124985828;0,907756516119953;0,746691624255923;0,532520596184302;0,288741832489635;0,0650482623788946;0,0231253274624867;0,25629650836554;0,263307515632342;0,270950411798495;0,264947160418967;0,225585382399687;0,14888839052791;0,0409896135758097;0,0151886186751601;0,00810480722783505;0,00832651474438591;0,00856820434243805;0,00837836486517947;0,00713363615223072;0,00470826431224835;0,00129620539309718;0,000480306295252749
10;0,8728199664138;0,821678106964299;0,738156825509766;0,560020409389283;0,380056572822211;0,201442309972927;0,0453151819121696;0,0161330114765656;0,976808214137498;0,945295955935674;0,875979086209553;0,679046065506255;0,449822467862525;0,225629188397451;0,0475605936762722;0,0167068802672313;0,259478358342978;0,270971976239995;0,279022813472264;0,262413406388257;0,208837853140863;0,12573868918631;0,0311794063919405;0,0112936721557599;0,00820542615885165;0,00856888626995412;0,00882347609720668;0,00829824052750272;0,00660403277584876;0,00397620647832723;0,000985979402905447;0,000357137271594252
15;0,877106300776979;0,821577582608673;0,730977138906488;0,540223463378448;0,354809766398377;0,181142039341975;0,0392944993248943;0,0138899085264557;0,97263503427126;0,935824938313105;0,856331085779298;0,640985911425143;0,4082673691274;0,19735605667828;0,0404357460861066;0,0141354982841753;0,245482603209995;0,259310180475656;0,267661031181061;0,247380168823853;0,190415014317502;0,109769519012628;0,0259916485889419;0,00932547255257636;0,00776284152090947;0,00820010790772397;0,00846418499401503;0,00782284781440352;0,00602145145936879;0,00347121697741062;0,00082192809683758;0,000294897335235256
20;0,879728419989863;0,817972462315579;0,71834992559892;0,516873768268028;0,330395883190429;0,164113249237698;0,0347531682981115;0,0122297196103038;0,969588563312363;0,928979715286115;0,842434284511609;0,615609210966272;0,382293099808999;0,180702357917923;0,0364227170029875;0,0126980848776853;0,231324332980216;0,246095371872037;0,258301750236425;0,238587243232677;0,179341355245848;0,100168310657573;0,0230071224992533;0,00820651646135195;0,00731511770436687;0,00778221896741773;0,00816821854355039;0,00754479109275853;0,00567127161238265;0,0031676001104925;0,00072754909504146;0,000259512836735373
30;0,869426869119419;0,802530195338974;0,696531584551032;0,486335828165463;0,300584550185863;0,144385233369368;0,0297269068274364;0,0104078925725179;0,963736568118473;0,915990551606836;0,816739142558645;0,571729388232933;0,340320342242332;0,155298344424343;0,0305460260623373;0,0106071523702577;0,236121443266099;0,25276980589291;0,260356284094114;0,229551157674623;0,165208325002883;0,0883656130277871;0,0195366308958191;0,00691932079801283;0,007466815651271;0,00799328310340246;0,0082331886087527;0,0072590449778025;0,00522434595430454;0,00279436604004855;0,000617802514368042;0,000218808135830944
40;0,843773925631132;0,772355309904026;0,662453478421335;0,451462695480337;0,272183213980293;0,127672273113122;0,025787983473556;0,00899849980316173;0,958119625151134;0,903716943867914;0,793238178367725;0,534708277710366;0,3075237930535;0,136639007256053;0,0264072670556778;0,00914447876406628;0,262932571328569;0,276142583474429;0,276820276224784;0,231554267412083;0,159029276081466;0,0816397196731925;0,0174835202179133;0,00615788104837976;0,00831465796442963;0,0087323952274237;0,00875382575387275;0,00732238886953885;0,00502894727065169;0,00258167461704946;0,000552877454062093;0,000194729296732655
50;0,8400626934585;0,761826667429699;0,641984777840106;0,42158428847523;0,245884576063094;0,112176595762336;0,0222053226982224;0,00772225461996939;0,950931030840408;0,88827917906004;0,764698628860997;0,493278971783691;0,273355357062775;0,11821588838211;0,022460101316742;0,00775706955037223;0,257587078031176;0,268326429709231;0,267291634069868;0,218768420253491;0,14589522393812;0,0727712721243479;0,0152375681412957;0,00534610665613566;0,00814561862406036;0,00848522674302243;0,00845250363169045;0,00691806488117941;0,00461361207384779;0,00230122968140859;0,000481854213285128;0,000169058736475753
60;0,838005309669522;0,761310287978766;0,641769558423553;0,419950270576871;0,243566704004485;0,110462315552342;0,0217591986380861;0,00756059441904963;0,952857277658202;0,892386553658173;0,772184159563563;0,503796199263968;0,281791173587015;0,122672314013856;0,0234025905114406;0,00808768267420401;0,264189182236098;0,271023072825581;0,266421133477959;0,215159362977269;0,141778334145736;0,0698629358864503;0,0144828931330657;0,00507238398748748;0,00835439549043366;0,00857050208586522;0,00842497598594088;0,00680393646919077;0,00448342458764949;0,00220926001427498;0,000457989294092997;0,000160402865674275
70;0,841440280309357;0,754547270345473;0,624316978786247;0,395164764055959;0,223340327837663;0,099364709301367;0,0193271716424582;0,00670201955560696;0,942334059587286;0,870203816734791;0,732647160869766;0,450808876378344;0,24082158946432;0,101565575996061;0,0190059879701414;0,00654897084036454;0,238908879945947;0,254346771018211;0,254567813708115;0,204472879365583;0,132762928800105;0,0645351513108567;0,0132450030284261;0,00463107416001259;0,00755496213868917;0,00804315111926851;0,00805014110287079;0,00646600018528086;0,00419833243843098;0,00204078067285908;0,000418843771856545;0,000146447423587909
80;0,838489595894234;0,756167664074567;0,62917052973986;0,399509201012043;0,225256057552498;0,0998030255414827;0,0193400471653641;0,00670202279776379;0,945398583131179;0,876599499316854;0,74382531832504;0,465168028324285;0,251555524200718;0,106966996973763;0,0201150443294232;0,00693626180577528;0,253192428766109;0,262090863686883;0,25612345406361;0,200852962510487;0,128281877018973;0,0615297393778344;0,0125074007800478;0,00436619198324508;0,0080066476121084;0,00828804083171265;0,00809933477030516;0,00635152836325549;0,00405662913901566;0,00194574120270508;0,000395518740735178;0,000138071113686222
100;0,832574679991584;0,745153279637591;0,611594930090658;0,377472251143981;0,207855713574151;0,0904540156406093;0,017320215283142;0,00599063486235235;0,937388934830222;0,859992230091922;0,715155942150421;0,429243464274409;0,225182662002128;0,0938519839121541;0,0174408252019725;0,00600337856120675;0,252280232193004;0,259454992927848;0,250512401148718;0,191172834887725;0,119155454618185;0,0560123364316782;0,0112243613110829;0,00390910135485639;0,00797780142366027;0,00820468727954878;0,00792189769747731;0,00604541584996511;0,00376802632226294;0,00177126560191732;0,000354945470236957;0,000123616638857963
120;0,807472846645287;0,71311195828849;0,575393691456219;0,346518299885187;0,18766923468017;0,0807110916555253;0,0153370160070062;0,00529829156825373;0,929327349749421;0,843627581398052;0,688003584589675;0,39778613147717;0,203351518405956;0,0833828444401658;0,0153508995940317;0,00527663570380332;0,268325917855792;0,27366112959235;0,261162111525197;0,193696960235739;0,117561090166688;0,0541273129887913;0,0106974234730472;0,00371736451899892;0,00848521055679545;0,00865392476566333;0,00825867110958533;0,00612523570196;0,00371760809139159;0,00171165592669397;0,000338282232701779;0,000117553387731329
140;0,799498666222395;0,702802136418523;0,562285796492581;0,332008817058099;0,176779880001902;0,075071100515979;0,0141490358018348;0,00488161531382902;0,923539615990997;0,832089604751654;0,66948175852995;0,377621254883425;0,189934544902493;0,077115136142012;0,0141182437919726;0,00484894572057687;0,27287020290309;0,276156620567094;0,25876537344616;0,185799684733112;0,110213718199946;0,0499201754392309;0,00976197205579071;0,00338662239548723;0,00862891346766054;0,00873283911926917;0,00818287959673921;0,00587550192297849;0,00348526378907784;0,00157861455583166;0,00030870066151215;0,000107094403446752
160;0,785928919988153;0,682914460547277;0,539711836421784;0,31345470459134;0,165057692371903;0,0695551616361227;0,0130460905202036;0,00449769418395767;0,917660789733599;0,820545936635895;0,65144244891862;0,358907530441868;0,177864296539384;0,0715810747279257;0,0130411947680177;0,0044758208195378;0,272327136484596;0,280140965253586;0,262634188449026;0,185199033893404;0,107951520898773;0,0482645717436683;0,00935997352137345;0,00324293419638198;0,00861174019962864;0,00885883516119422;0,00830522226928808;0,00585650767565877;0,0034137268291939;0,00152625977002596;0,000295988351664068;0,000102550583626148
180;0,80139974878433;0,696372658631753;0,548155423755987;0,314770709256254;0,164200578057056;0,0687381842575763;0,0128403026238694;0,0044239671498253;0,916806201195627;0,8188820586459;0,648880826635907;0,356318971429627;0,176222043683232;0,0708354644024222;0,0128968686140536;0,00442586134381005;0,254058732733966;0,263177833229275;0,248185293272848;0,175099886192865;0,101695863307414;0,0453071610200786;0,00876445672726698;0,00303537485372409;0,00803404254895309;0,00832241382672455;0,00784830808499065;0,00553714458405722;0,00321590556668571;0,00143273823139446;0,000277156457121489;9,59869809016856e-05
200;0,784318220668135;0,678148495327942;0,529336366917155;0,299397138824822;0,154498213489681;0,0642005684733329;0,0119383023107056;0,00411031828433629;0,90914330159409;0,804126513973473;0,62659096716698;0,334504712940802;0,16264752355889;0,0647409615774679;0,0117243551949032;0,00402034935511857;0,271130390374724;0,273452631072292;0,251959471620167;0,173038851219744;0,0987800544307651;0,0434877229270814;0,00835007727750207;0,0028885226116269;0,00857389576474723;0,00864733146354176;0,00796765808372284;0,00547196893553396;0,00312369959396625;0,00137520254703902;0,000264052628353244;9,13431052563898e-05
300;0,780883021568969;0,667570155841168;0,509687397119633;0,275713925697685;0,137669605779658;0,0559582794820834;0,0102682785990791;0,00352819637134562;0,898817176667625;0,784691533579886;0,598339393563299;0,308540859093056;0,147074986306543;0,0578942780665287;0,0104219662694906;0,0035706606157246;0,263278508940586;0,261967918556201;0,234792224001634;0,152992998534671;0,0839436988659939;0,0359552154377836;0,00678804923829211;0,00234208337202096;0,00832559747225255;0,00828415296531083;0,00742478204741617;0,00483806341428364;0,00265453283635834;0,00113700374545444;0,000214656964623741;7,40631792559372e-05
400;0,763536632012099;0,642374677022603;0,480386052840346;0,251768341146843;0,123177866123314;0,0494292061365063;0,00900284499484169;0,00308993832429541;0,88684684048961;0,76278303650515;0,567910320809659;0,282484714349114;0,132050517747151;0,0514307401398704;0,00920662500261065;0,00315172903273048;0,263347687996088;0,262605577673814;0,23198425682915;0,145234460485673;0,0773273725772825;0,0324752065716708;0,00606014902446447;0,00208727124955559;0,00832778510607023;0,00830431751713514;0,00733598632881585;0,00459271689880452;0,00244530622820657;0,00102695620250948;0,000191638738773552;6,60053124318138e-05
