"distance";"mean mortality class 1";"mean mortality class 2";"mean mortality class 3";"mean mortality class 4";"mean mortality class 5";"mean mortality class 6";"mean mortality class 7";"mean mortality class 8"
0,2;0,959263131228164;0,949621005397924;0,932451512223681;0,886617274952518;0,814920410151372;0,674721714176496;0,3064857132642;0,135688204946654
0,5;0,931240955370506;0,918085835360481;0,895050519515052;0,834177765432951;0,74158347707069;0,573433716526347;0,219223239570675;0,0901320098771139
1;0,935419355642261;0,920115940736815;0,893328011363557;0,821102654385858;0,70930841119065;0,515792137396636;0,172773790912474;0,067818985082461
2;0,933521630441348;0,914590199292657;0,880114075509655;0,789581094924237;0,658271821428796;0,450825770979823;0,136189255165295;0,0518333144391746
5;0,930178249415325;0,908283636392705;0,867020425245668;0,7535101836099;0,59184721311028;0,366928414485892;0,0960520171275309;0,0352565404758418
10;0,921049851262945;0,889655642485267;0,834215587894812;0,692364772309627;0,511020328999429;0,292154047779573;0,0697934625319449;0,025115795664638
15;0,9254492071395;0,891610489532302;0,831717913499391;0,676603985414438;0,483737100071419;0,265239382583016;0,0606877414098587;0,0216463718400512
20;0,930263194591535;0,893130003538323;0,825390305738574;0,655465738535032;0,455365556151755;0,241857896386281;0,0537303557960377;0,0190576804463572
30;0,920876691916273;0,880293653161775;0,807364036334111;0,625048503316274;0,41927832661792;0,21430534912269;0,0460090631680191;0,0162174373637611
40;0,900834495994765;0,855522027147322;0,776964673910057;0,587777245292207;0,383658690683503;0,190748204852973;0,0400172115819575;0,0140486989639339
50;0,902132769967245;0,852264637601726;0,763564382044881;0,557184551232544;0,35046291878705;0,16862692245268;0,0345164420905055;0,0120660444708412
60;0,900983623618331;0,852316778978872;0,764741427525975;0,557112516191546;0,348505010437864;0,166420748591578;0,0338551401050044;0,0118216569611502
70;0,908075628147856;0,851198147412539;0,751569800178943;0,528855513463173;0,32111288283719;0,149857196179007;0,030013710672791;0,0104551451388326
80;0,90361524919137;0,851614561087654;0,757073694806939;0,535634453387988;0,324567110412163;0,150738780936946;0,0300526110416484;0,0104595172988879
100;0,899435809828499;0,844347125551411;0,742851018731913;0,51114044494538;0,301675221157253;0,137187627639266;0,0269598032632228;0,00936119195458645
120;0,877656812591033;0,814427318784863;0,704875167985278;0,472665654644629;0,273729036356781;0,122720061258224;0,0238911205711884;0,00828349122480987
140;0,872768279687353;0,807875494484107;0,69441817931852;0,456115207496029;0,258949193654316;0,114339591649341;0,0220392648813474;0,00762912708169352
160;0,865574195789421;0,791293157520294;0,671351545647265;0,4333905607465;0,243083282658986;0,106411796651459;0,0203945501613375;0,00705384813597299
180;0,879931914519719;0,80683293465497;0,68357824526542;0,436291451064188;0,241940143251975;0,105038684383597;0,0200268833077411;0,00692098915709877
200;0,864082040010021;0,789632110356991;0,663848440323835;0,416772492321386;0,228275850338139;0,0982157024261001;0,0186212419694769;0,00642938239798199
300;0,866494963576852;0,786217855089417;0,648966506407855;0,389136813703837;0,205150010749077;0,0859527484161081;0,0160325544504373;0,00552192739948145
400;0,855972355445213;0,766070328175072;0,61968491194857;0,358808690222358;0,184654264708173;0,07615571969032;0,0140745057851964;0,00484072488718538
500;0,838158591482115;0,745673397529193;0,594549187646724;0,334724766927172;0,169014805167266;0,0689036646310718;0,0126482471767017;0,00434587312652854
600;0,845697591594175;0,744532328097606;0,584159641839055;0,320548022319412;0,159297112187968;0,0643285362510196;0,0117467275824492;0,00403297588200556
700;0,820895023444891;0,717435355097118;0,557775452829051;0,301612767727508;0,148527668317265;0,0596319124038658;0,0108541076104575;0,00372476999440931
800;0,814014141227612;0,707378441281544;0,543898387394291;0,28807658776013;0,140051110123469;0,0557993115590603;0,0101128062349396;0,00346821735386229
900;0,819664790238017;0,709441028352219;0,540398103887196;0,281278769271785;0,135289552311373;0,0535744718414719;0,00967775133568056;0,00331744107965398
1000;0,81881872427896;0,708136490276899;0,53765819066079;0,278129786593703;0,13323235794032;0,0526329262860591;0,0094942257925738;0,0032538595713409
1200;0,790564744595548;0,670949436337187;0,497099114164611;0,249073246682532;0,117344297725333;0,0459434098045324;0,00824994108627286;0,00282551783965984
1500;0,784990268552089;0,659050724383903;0,480063505759977;0,234141176389272;0,108711542654475;0,0422173823389791;0,00754754218759523;0,00258331582440369
2000;0,765544331299191;0,633272055326508;0,450314199482118;0,212163755264298;0,0967398082443792;0,0372099012291275;0,00661897636577817;0,00226385354637149
