"distance";"median mortality class 1";"median mortality class 2";"median mortality class 3";"median mortality class 4";"median mortality class 5";"median mortality class 6";"median mortality class 7";"median mortality class 8"
0,2;0,999961444304773;0,999775931668641;0,998721983691834;0,988309101443122;0,946749319156674;0,806974923917547;0,343725783365878;0,144102799841635
0,5;0,999898292740867;0,999418016123599;0,99681410069116;0,974155635811003;0,896904063023962;0,693208738085854;0,238652099584962;0,0935212758065201
1;0,999794771181489;0,998846202276961;0,993842668650337;0,954242287355993;0,843221042492613;0,600245182161979;0,181938246651537;0,0688926102627129
2;0,999689153266572;0,998253440444526;0,990961602751722;0,936861722919362;0,793283064623303;0,523876371443407;0,142015326928642;0,052455353815137
5;0,999293166185251;0,996199364260121;0,981607124980651;0,890462077960886;0,699667067877069;0,4115327110591;0,0988246434278378;0,0356314552862226
10;0,998690330270481;0,993259046791676;0,969123339629905;0,840108179229472;0,613659026330151;0,333200326095574;0,0741542921078065;0,0262404865519087
15;0,998131848379295;0,99042482464977;0,958278203037567;0,80371117988231;0,561407687577892;0,29145444464088;0,0626143690055312;0,0220099806250013
20;0,997830353858969;0,989044498483725;0,952595186811769;0,783095308230543;0,533967113245424;0,271530589622665;0,0574585645248086;0,0201849297026477
30;0,99677167294815;0,984181046799127;0,936113793794352;0,739111983718808;0,479390119091644;0,231462241663718;0,0471308712306685;0,0164556488466607
40;0,995857620265306;0,979953913288503;0,922560383511708;0,70331771002995;0,438529719289445;0,205825887541926;0,0410249508890526;0,0142860465034474
50;0,994223589950957;0,973787175569212;0,903667527462019;0,658090697572905;0,393423029802646;0,178980327894771;0,0348446680013118;0,0120816932830877
60;0,994912827760651;0,976136739203566;0,909872317175078;0,669371322286956;0,406210823316586;0,185033679526441;0,0362553944088856;0,0125668844722312
70;0,992180355556775;0,965842285286365;0,881054893786374;0,612105701203828;0,353014658211347;0,155332794992835;0,0298670767947343;0,0103368725534898
80;0,993527278064594;0,970197726118688;0,890593309682568;0,631659567111484;0,368174632443038;0,164191988980068;0,0316419693906176;0,0109478112698316
100;0,991187717594652;0,961059517344263;0,866927644727087;0,585798523669944;0,328467959666232;0,14249834064408;0,0269752034155156;0,00930460703300079
120;0,988662370316164;0,952257652096247;0,844848894085517;0,549661422008263;0,299727976855942;0,128206821418076;0,0241208307140127;0,00831659686805042
140;0,986669384620376;0,944954191174075;0,826830966923023;0,522383877658498;0,280182312609741;0,117304325961856;0,0219451599822304;0,00755476008691322
160;0,984342206592954;0,9374645551884;0,811710486322401;0,504494609109114;0,266047039670195;0,111225670699156;0,0206176600417044;0,00709414008349035
180;0,984669937574833;0,938871406698514;0,812020492690507;0,498334150807365;0,261315865597;0,108408162308654;0,0200895893383535;0,00691261598408019
200;0,981767183122124;0,928562533122925;0,791880063460017;0,474367893329948;0,244331581650994;0,100372964693854;0,0184548721591367;0,00633963043500893
300;0,978207095453531;0,916996269361866;0,766803706109774;0,440708524618619;0,220993226128936;0,0891483870528984;0,016252673074988;0,00558253382215829
400;0,973649215409258;0,903850085398543;0,736880754486138;0,408872103394238;0,20025631994744;0,0801545545203415;0,014538620358826;0,0049848379960735
500;0,968701834162539;0,887822232191783;0,70684066316431;0,375940278474841;0,17986056879889;0,0710044667032246;0,0128153082294982;0,00439469883877691
600;0,964754742821527;0,876998032345056;0,687774665212077;0,36115287466997;0,171459712618225;0,0673079301816144;0,0121265859800875;0,0041562181749982
700;0,960628441752519;0,866199198611964;0,668215372579163;0,340060244694015;0,159345503528783;0,0619915739180576;0,0110931718188342;0,00379657219642321
800;0,952068668726723;0,845312026684347;0,640851384630307;0,314124020208207;0,145834146372168;0,0563732677318315;0,0100613767560264;0,00344292933265078
900;0,949967221795939;0,840386308880397;0,628625209658527;0,306050221114294;0,140784908243042;0,054279421636652;0,0096586545191936;0,00330222240801004
1000;0,950981625253233;0,843248663237246;0,637011442638852;0,311475008457073;0,142843888371254;0,0552011964037945;0,0098373051201377;0,00336462331967719
1200;0,93577539914604;0,806418401296473;0,58235100902421;0,270732961944158;0,121000047099477;0,0460324719235843;0,00813152207728937;0,00277849587386883
1500;0,933124403557226;0,799363472368868;0,568682783099317;0,25885331784122;0,115372937842621;0,0437817927464958;0,00773410605519467;0,00264284302330151
2000;0,917601027358232;0,766627333071286;0,530240652034369;0,233452965340007;0,102421550263327;0,0385376388071739;0,006777943598551;0,00231473433138093
