"distance";"SD mortality class 1";"SD mortality class 2";"SD mortality class 3";"SD mortality class 4";"SD mortality class 5";"SD mortality class 6";"SD mortality class 7";"SD mortality class 8"
0,2;0,177234312819146;0,185964722103939;0,200916317740493;0,233539832893549;0,264954769261943;0,280471281176995;0,176690024875938;0,0861990917782418
0,5;0,231422232149136;0,239747169911239;0,25330703227768;0,280719168721194;0,300049396169289;0,286226877883152;0,141181689982963;0,0620620865096955
1;0,21985980609844;0,231106226479866;0,248401173035916;0,277657067488834;0,290439266364086;0,259925395799982;0,109500077997652;0,0453703022726754
2;0,218547835342325;0,229841172981814;0,249545769618867;0,284006944621849;0,292208548893813;0,244544250280712;0,0894157147380411;0,0354284185950574
5;0,222123459857591;0,234075059267456;0,254437122460612;0,281885518186368;0,271306462185968;0,201608953577961;0,0615945264037643;0,0232816201132111
10;0,221975859676175;0,242942662430125;0,268975048754726;0,291083503278624;0,261743263723708;0,175102247107285;0,0471243350918073;0,0173203445436195
15;0,208718901326444;0,234262794245109;0,26242125720729;0,280589978246296;0,243831677281221;0,15519024383562;0,0395173077572717;0,0143528715122106
20;0,196776392428617;0,220793574190426;0,252888027479456;0,274000729182847;0,232700566969768;0,142707889128845;0,0349831319341255;0,0126122816719055
30;0,209742447140846;0,236416137156547;0,265515452953876;0,27202459476323;0,219344534436519;0,127658400177394;0,0298497058046559;0,0106677030921258
40;0,236370077489973;0,262018722971786;0,287294766333402;0,279882169118531;0,21438488076304;0,118994248205269;0,0268025987844116;0,00951594532348825
50;0,230873581005732;0,255612003227474;0,279448280769459;0,267119656030682;0,198120703063094;0,106303017309422;0,0233011803984451;0,00823286434153887
60;0,235057756758494;0,25889228285802;0,280584146347409;0,264718218441412;0,19368420291168;0,102330963363786;0,0221461626047723;0,00780745279652109
70;0,208928905327221;0,241225450850475;0,268855677889225;0,253491898714494;0,182349454594493;0,0947393481139428;0,0202544258120216;0,0071266350790152
80;0,225584583021101;0,252669992159696;0,273562082495881;0,250830188753247;0,177056276329941;0,0905549782133682;0,0191298933811593;0,00671726840621033
100;0,231917989803471;0,255927348297529;0,272760391804098;0,242364847267771;0,166206520704013;0,0829588180557511;0,0172199788714441;0,00602898172106986
120;0,25278594367846;0,27571161642202;0,289709505749392;0,249375528123959;0,165858238103391;0,0807750149990426;0,0164916487178551;0,00575868019657046
140;0,258297689715563;0,280027862206064;0,289396264844929;0,240497468638372;0,15563106440456;0,0742943789886292;0,0149727771113682;0,00521728667243023
160;0,248733711650769;0,280601273096372;0,295125429613204;0,242465220086952;0,154083403758379;0,0725054819208582;0,0144715973958928;0,00503565304302934
180;0,233226903648389;0,264223620183404;0,279060252627353;0,229194128583801;0,144898135383932;0,0678542281244944;0,0134976526014217;0,00469415579048335
200;0,257138653159533;0,28056090082641;0,287250133756786;0,22834253551665;0,141440115333605;0,0652725089588322;0,012865196875988;0,00446736964621338
300;0,24895406480592;0,272626626995067;0,273556371179021;0,205439831219429;0,121381704922247;0,0541934683564712;0,010462457277422;0,00362156518741585
400;0,247817876472583;0,274591002032546;0,273825022971284;0,19757965688587;0,112765186287791;0,0491502582107614;0,00935440763702458;0,00323094844463107
500;0,271718499936864;0,28725468087825;0,27547889440352;0,190215617822068;0,10577954114952;0,0453805971786122;0,00855645029469056;0,00295123702965743
600;0,249238099353233;0,271157562011745;0,263341907893329;0,179664039334041;0,0982761978553759;0,0416814828827423;0,00780604920988013;0,00268972482993515
700;0,274187578545839;0,290944872307028;0,273803817134094;0,179845637412167;0,0965123668946057;0,0404831455688754;0,00753737527298221;0,00259493876532303
800;0,277863668021374;0,292636125749459;0,270192655626956;0,172208005496261;0,0908041415763643;0,0376979884046644;0,00697750641871976;0,00240018757769178
900;0,269774548573947;0,284159379630853;0,260186354233102;0,163041590740319;0,085055616912219;0,0350911679220615;0,00647282763133216;0,00222544682093051
1000;0,271513528312976;0,283566980208279;0,258293754449609;0,160303751911401;0,0830208783365224;0,0340992624284945;0,00627361394081113;0,00215612468396492
1200;0,287165866946711;0,293591844895445;0,260200244557277;0,155233490483301;0,0786530200313588;0,0319127934926852;0,0058350792865818;0,00200355827143282
1500;0,283395338421487;0,289092222153393;0,251339554187137;0,14438404833734;0,0715877487584727;0,0286971230923831;0,0052127755687534;0,00178819705085806
2000;0,29381976265729;0,29162690267388;0,244089062528014;0,133378803668982;0,064488066111965;0,0255097769126023;0,00460148068372495;0,00157690921913857
